iso3,country_id,country_name,country_name_dos_short,country_name_dos_long,region,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
ETH,76,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,Africa,81333135.41803055,106551692.44679794,25218557.028767392,31.006498027096534,3613424.309295738,4791686.828791463,1178262.5194957247,32.60792031715118,-1.6014222900546429,38.75683048090452,38.12102645335706,20.413334580190085,32.39357352341337
MEX,149,Mexico,Mexico,United Mexican States,North America,64292602.787228614,70139077.6594933,5846474.872264683,9.093542054306214,36246744.391029686,39541935.31464995,3295190.9236202613,9.090998319936707,0.0025437343695067227,23.863439304708272,24.320447020783607,13.43735070303146,7.509875105520721
CHN,46,China,China,People�s Republic of China,Asia,65608030.469290346,66806109.5053782,1198079.0360878557,1.8261164487305404,1125344737.6365762,1145769955.3159053,20425217.679329157,1.8150187223717542,0.011097726358786142,17.806318165401724,15.410894064282388,12.79881561726507,1.538948532943445
KEN,123,Kenya,,,Africa,25293413.27061282,30906130.297965493,5612717.027352672,22.190429450159712,6738179.613906328,8241199.719727506,1503020.1058211783,22.30602613678076,-0.11559668662104627,34.487046426192094,41.37938589831099,5.921043240738116,7.209610029799138
IRN,112,Iran,Iran,Islamic Republic of Iran,Asia,21670240.407177497,24288631.539928496,2618391.132750999,12.082889176825883,16966852.932891306,19029332.94062207,2062480.0077307634,12.1559373201881,-0.07304814336221632,22.239855790084388,22.244021495275888,4.653252808415788,3.3633584021111154
COL,52,Colombia,Colombia,Republic of Colombia,South America,19431714.239016898,22092817.895883508,2661103.65686661,13.694641780617511,16967336.88629109,19286193.33776926,2318856.4514781684,13.666590502789564,0.02805127782794692,17.797338348294524,23.247868078167162,4.232575505575032,3.418223210146376
YEM,319,Yemen,Yemen,Republic of Yemen,Asia,14968859.909907402,20076953.365655087,5108093.455747684,34.12479966070631,7622382.119189672,10282724.374716843,2660342.2555271704,34.90171725751777,-0.7769175968114581,42.46979819472154,39.55886188250739,3.846373126439316,6.561414308299819
AFG,2,Afghanistan,Afghanistan,Islamic Republic of Afghanistan,Asia,15254520.24811042,19419789.04175954,4165268.7936491203,27.30514448112567,4314303.106712069,5684815.710232458,1370512.6035203887,31.766720362975526,-4.461575881849857,42.726705485590394,42.72317162787744,3.720472590185118,5.350343429956626
ZAF,320,South Africa,South Africa,Republic of South Africa,Africa,11980755.634624181,13756307.539837282,1775551.9052131008,14.82003272048873,16794426.666770644,19279624.225620113,2485197.558849469,14.797751707515364,0.022281012973365932,23.087340620188822,24.136604338118257,2.6354542283680904,2.280720150663137
IND,109,India,India,Republic of India,Asia,12645692.607290829,13560865.460426722,915172.8531358931,7.2370322571992105,1114997450.352297,1233706082.8942046,118708632.54190755,10.646538474540915,-3.409506217341704,25.40769415697957,24.818531395984937,2.5980111388550085,1.1755517601927812
PAK,180,Pakistan,Pakistan,Islamic Republic of Pakistan,Asia,11321071.73362543,13243946.948534925,1922875.214909494,16.98492210060149,177833763.15928638,208654704.42183295,30820941.26254657,17.331321519041428,-0.3463994184399368,41.910405265124034,35.72956380225918,2.537295410466805,2.46995891079199
