iso3,country_name,lowland_population_2025,highland_population_2025,lowland_youth_population_2025,highland_youth_population_2025,lowland_youth_share_2025_percent,highland_youth_share_2025_percent,highland_minus_lowland_youth_share_difference_pp,lowland_older_population_2025,highland_older_population_2025,lowland_older_age_share_2025_percent,highland_older_age_share_2025_percent,highland_minus_lowland_older_age_share_difference_pp
AFG,Afghanistan,5684815.7102324581,19419789.0417595394,2428733.5726111531,8297436.0697955554,42.7231716279,42.7267054856,0.0035338577,137197.6148223842,468739.1128852714,2.4134047930,2.4137188714,0.0003140784
AGO,Angola,15718197.6104659103,6660610.8015231322,6474388.5862531476,3168166.7520264625,41.1904007489,47.5657090083,6.3753082594,321484.1147909536,189851.4017324044,2.0452988489,2.8503602356,0.8050613867
ARG,Argentina,38266790.7176145613,273219.7749771285,8010728.2166382223,72330.6411297694,20.9338908919,26.4734282633,5.5395373715,4908293.6312464476,29138.0725175569,12.8265097208,10.6647011623,-2.1618085586
BTN,Bhutan,136002.7323814232,410193.8060178086,27150.6922997690,84129.1328008258,19.9633432537,20.5096058416,0.5462625878,8246.6806760279,25875.0928954638,6.0636139669,6.3080164829,0.2444025160
BOL,Bolivia,4561533.6465166714,3299058.7283620909,1424877.4441420236,963183.5927453368,31.2368066216,29.1957092023,-2.0410974193,208807.5206383176,204824.9881660154,4.5775727380,6.2085887228,1.6310159847
MMR,Burma,47306552.6947995424,527029.2456563389,11148960.3640094679,166085.9555452441,23.5674758124,31.5136127481,7.9461369357,3633414.3029228719,31039.9701210057,7.6805729776,5.8896105628,-1.7909624149
CMR,Cameroon,13455942.3703450356,1392144.0101753706,5590875.5015283115,609794.7500903337,41.5494905348,43.8025624959,2.2530719612,353837.7617562751,42548.3850700058,2.6296022383,3.0563206650,0.4267184267
CHL,Chile,12628600.5381514523,252522.9023506815,2164277.3357379260,45038.5473466632,17.1379032000,17.8354307381,0.6975275382,1844901.5700826170,22708.8896295336,14.6089154100,8.9928039865,-5.6161114234
CHN,China,1145769955.3159053326,66806109.5053782016,176573394.0341098309,11895708.4124543276,15.4108940643,17.8063181654,2.3954241011,173404605.4032604098,8110460.7960214633,15.1343299411,12.1402980297,-2.9940319113
COL,Colombia,19286193.3377692588,22092817.8958835080,4483628.7844648613,3931933.5516029503,23.2478680782,17.7973383483,-5.4505297299,1698850.2313374740,2288822.9720242550,8.8086342472,10.3600318566,1.5513976093
COD,Congo (Kinshasa),41706234.9375334978,12415928.3094745241,19211538.3459771685,5579827.4752218081,46.0639479319,44.9408802640,-1.1230676679,1289398.9194688513,371942.7872215497,3.0916214839,2.9956905191,-0.0959309649
CRI,Costa Rica,1694169.3196174861,256107.3292085823,365864.7454111085,45373.3507712847,21.5955242002,17.7165374031,-3.8789867972,184599.7192087224,31393.2076937542,10.8961788572,12.2578326012,1.3616537440
