iso3,country_name,lowland_population_2015,lowland_population_2025,lowland_absolute_change_2015_2025,lowland_growth_2015_2025_percent,highland_population_2015,highland_population_2025,highland_absolute_change_2015_2025,highland_growth_2015_2025_percent,highland_minus_lowland_growth_difference_pp
AFG,Afghanistan,4314303.1067120694,5684815.7102324581,1370512.6035203887,31.7667203630,15254520.2481104191,19419789.0417595394,4165268.7936491198,27.3051444811,-4.4615758818
AGO,Angola,11288992.2515517324,15718197.6104659103,4429205.3589141779,39.2347276021,4792861.0141123096,6660610.8015231332,1867749.7874108236,38.9694126725,-0.2653149295
ARG,Argentina,36158508.1650716513,38266790.7176145613,2108282.5525429174,5.8306679659,258156.6551063699,273219.7749771285,15063.1198707586,5.8348756744,0.0042077085
BTN,Bhutan,126257.5452524450,136002.7323814232,9745.1871289782,7.7184988109,380617.6820518470,410193.8060178086,29576.1239659616,7.7705596352,0.0520608243
BOL,Bolivia,3989260.3685903600,4561533.6465166714,572273.2779263118,14.3453478853,2885283.7049467433,3299058.7283620909,413775.0234153475,14.3408782542,-0.0044696311
MMR,Burma,44025604.6965262294,47306552.6947995424,3280947.9982733130,7.4523632802,491327.3389615402,527029.2456563389,35701.9066947987,7.2664197295,-0.1859435506
CMR,Cameroon,10022048.2537242603,13455942.3703450356,3433894.1166207753,34.2633963606,1163784.7119976815,1392144.0101753706,228359.2981776891,19.6221256237,-14.6412707369
CHL,Chile,11443801.1012889519,12628600.5381514523,1184799.4368625004,10.3531984380,229103.3769042045,252522.9023506815,23419.5254464771,10.2222524011,-0.1309460369
CHN,China,1125344737.6365761757,1145769955.3159050941,20425217.6793291569,1.8150187224,65608030.4692903459,66806109.5053782016,1198079.0360878557,1.8261164487,0.0110977264
COL,Colombia,16967336.8862910904,19286193.3377692588,2318856.4514781684,13.6665905028,19431714.2390168943,22092817.8958835080,2661103.6568666101,13.6946417806,0.0280512778
COD,Congo (Kinshasa),29923119.8151770905,41706234.9375334978,11783115.1223564073,39.3779632443,8913078.3286564033,12415928.3094745222,3502849.9808181189,39.3001144123,-0.0778488320
CRI,Costa Rica,1578725.5581128388,1694169.3196174861,115443.7615046473,7.3124654828,239439.4099347414,256107.3292085823,16667.9192738408,6.9612263405,-0.3512391423
ECU,Ecuador,8965677.4863460083,10111745.6039113458,1146068.1175653376,12.7828389914,6116068.0221720953,6897770.5111158974,781702.4889438022,12.7811281057,-0.0017108857
ERI,Eritrea,546547.1346115756,634245.4101216381,87698.2755100625,16.0458760016,1429917.5055277846,1645256.2982358912,215338.7927081066,15.0595255933,-0.9863504083
ETH,Ethiopia,3613424.3092957381,4791686.8287914628,1178262.5194957247,32.6079203172,81333135.4180305451,106551692.4467979372,25218557.0287673920,31.0064980271,-1.6014222901
GTM,Guatemala,3930197.8349534050,4604851.2390201297,674653.4040667247,17.1658891587,6582885.8510360867,7711747.5166114569,1128861.6655753702,17.1484314193,-0.0174577394
HND,Honduras,4222284.0929132206,5047703.5295285918,825419.4366153711,19.5491212446,379663.5362208710,449195.4822124254,69531.9459915544,18.3140963927,-1.2350248519
IND,India,1114997450.3522970676,1233706082.8942046165,118708632.5419075638,10.6465384745,12645692.6072908286,13560865.4604267217,915172.8531358932,7.2370322572,-3.4095062173
IDN,Indonesia,225701518.0748258531,246756809.4894807935,21055291.4146549404,9.3288213541,2293967.3961298866,2504829.4504784630,210862.0543485763,9.1920249043,-0.1367964498
IRN,Iran,16966852.9328913055,19029332.9406220689,2062480.0077307632,12.1559373202,21670240.4071774967,24288631.5399284959,2618391.1327509992,12.0828891768,-0.0730481434
KEN,Kenya,6738179.6139063276,8241199.7197275059,1503020.1058211783,22.3060261368,25293413.2706128210,30906130.2979654931,5612717.0273526721,22.1904294502,-0.1155966866
MDG,Madagascar,12553091.5070996825,16365971.0885694996,3812879.5814698171,30.3740284161,1694862.1108537954,2156085.2598077268,461223.1489539314,27.2130190415,-3.1610093746
MWI,Malawi,1963398.0415300168,2559468.4876893265,596070.4461593099,30.3591240060,269180.0657107265,349821.4294692097,80641.3637584832,29.9581484779,-0.4009755281
MEX,Mexico,36246744.3910296857,39541935.3146499470,3295190.9236202613,9.0909983199,64292602.7872286141,70139077.6594932973,5846474.8722646832,9.0935420543,0.0025437344
MAR,Morocco,23879137.8094162680,26623148.8044772372,2744010.9950609691,11.4912482057,1019939.3377692732,1129857.9115402144,109918.5737709414,10.7769716983,-0.7142765074
NAM,Namibia,195926.2619833795,256116.7041532329,60190.4421698534,30.7209669396,478016.7676208736,625019.4176218790,147002.6500010054,30.7526137070,0.0316467674
NPL,Nepal,15102533.0461046491,16137930.2787307072,1035397.2326260582,6.8557852478,3248231.8059257604,3472154.5441044946,223922.7381787342,6.8936809796,0.0378957318
NGA,Nigeria,161526416.3565440178,201649711.3104856908,40123294.9539416432,24.8400824206,170558.2592260924,212425.4096387716,41867.1504126792,24.5471257755,-0.2929566451
PAK,Pakistan,177833763.1592863798,208654704.4218329489,30820941.2625465691,17.3313215190,11321071.7336254306,13243946.9485349245,1922875.2149094939,16.9849221006,-0.3463994184
