column,description,units,allowed_values_or_notes
table_name,Logical table within Dataset S1.,text,figure1_elevation_summary; figure2_elevation_settlement; dynamic_static_growth_comparison
attribution_scenario,Spatial attribution used for the row.,text,"static_2025, dynamic, or dynamic_minus_static_2025"
year,Calendar year for annual quantities.,year,Blank for interval metrics.
interval,Change interval for change metrics.,text,2015-2025 where applicable.
elevation_group,Broad elevation group used in the manuscript figures.,text,<100 m; 100-499 m; 500-1499 m; 1500-2499 m; 2500-3499 m; >=3500 m
elevation_group_order,"Plot order for elevation groups, low to high.",integer,1 to 6
settlement_class,GHS-SMOD settlement class after light grouping.,text,Blank for elevation-only rows; otherwise final six settlement classes.
settlement_class_order,Plot order for settlement classes.,integer,1 to 6; blank for elevation-only rows.
age_group,Broad age group.,text,"0-14, 15-64, 65+, or blank."
metric,Measured quantity.,text,"population, population_share, population_growth, mean_age_approx, growth_difference, population_denominator"
value,Metric value.,numeric,Interpret using unit.
unit,Unit for value.,text,"people, percent, years, percentage points"
notes,Interpretive or provenance notes.,text,Static_2025 means 2025 classes held fixed for change summaries.
