elevation_group,age_group,population_2015_ageclass,population_2025_ageclass,absolute_change_ageclass,population_2015_total,contribution_to_total_growth_pp,total_growth_percent,sum_contribution_pp,sum_minus_total_growth_pp
<100 m,0-14,786041117.2023543,764049297.0872445,-21991820.1151098,3255289583.297298,-0.675571851670234,7.935043064584443,7.93504306460229,1.7847057165454316e-11
<100 m,15-64,2178618262.693261,2345135031.955626,166516769.26236486,3255289583.297298,5.115267474720306,7.935043064584443,7.93504306460229,1.7847057165454316e-11
<100 m,65+,290630203.4016825,404413884.5665805,113783681.16489798,3255289583.297298,3.4953474415522185,7.935043064584443,7.93504306460229,1.7847057165454316e-11
100-499 m,0-14,672033700.4106543,686087721.9078779,14054021.497223616,2473002289.789188,0.5682979573149387,10.341972497568372,10.341972497568987,6.146194664324867e-13
100-499 m,15-64,1588968457.8456843,1752714028.665667,163745570.81998277,2473002289.789188,6.621327100911876,10.341972497568372,10.341972497568987,6.146194664324867e-13
100-499 m,65+,212000131.5328491,289957755.88989186,77957624.35704276,2473002289.789188,3.1523474393421727,10.341972497568372,10.341972497568987,6.146194664324867e-13
500-1499 m,0-14,372707871.66807985,399062501.9886886,26354630.320608735,1242716345.748641,2.1207277437661847,14.289176963293308,14.289176963549664,2.5635671363488655e-10
500-1499 m,15-64,789182173.1674286,904732129.1925628,115549956.02513433,1242716345.748641,9.298176242747042,14.289176963293308,14.289176963549664,2.5635671363488655e-10
500-1499 m,65+,80826300.91313249,116495652.36637044,35669351.45323795,1242716345.748641,2.870272977036438,14.289176963293308,14.289176963549664,2.5635671363488655e-10
1500-2499 m,0-14,129590120.11779836,141346840.09154046,11756719.973742085,387953295.1039886,3.030447252829948,17.513882388620004,17.513882388620004,0.0
1500-2499 m,15-64,238935755.2716123,285870013.31154823,46934258.03993595,387953295.1039886,12.09791452534396,17.513882388620004,17.513882388620004,0.0
1500-2499 m,65+,19427419.71457794,28682125.52818836,9254705.81361042,387953295.1039886,2.3855206104460978,17.513882388620004,17.513882388620004,0.0
2500-3499 m,0-14,17980925.27012995,18963290.67414125,982365.4040113016,56167239.28340188,1.7490006924759125,17.634497173316483,17.634497173316475,-7.105427357601002e-15
2500-3499 m,15-64,35040508.99576253,42493828.40861637,7453319.412853844,56167239.28340188,13.26986960360787,17.634497173316483,17.634497173316475,-7.105427357601002e-15
2500-3499 m,65+,3145805.017509407,4614930.424405666,1469125.4068962592,56167239.28340188,2.6156268772326934,17.634497173316483,17.634497173316475,-7.105427357601002e-15
>=3500 m,0-14,3146668.330207245,3083663.706089133,-63004.62411811203,11068280.054239174,-0.5692359048502854,9.29207760806934,9.292077608069349,8.881784197001252e-15
>=3500 m,15-64,7253774.219617107,8102966.1528831795,849191.9332660725,11068280.054239174,7.672302553826602,9.29207760806934,9.292077608069349,8.881784197001252e-15
>=3500 m,65+,667837.5044148226,910123.3677852262,242285.86337040365,11068280.054239174,2.1890109590930313,9.29207760806934,9.292077608069349,8.881784197001252e-15
