elevation_m,broad_age_group,population_count
-412,old_age_65_plus,0.3683963432
-412,working_age_15_64,5.3346110177
-412,young_0_14,2.5376548138
-411,old_age_65_plus,8.4530156574
-411,working_age_15_64,126.2355348117
-411,young_0_14,61.6338406418
-410,old_age_65_plus,2.8683227299
-410,working_age_15_64,42.6054718853
-410,young_0_14,19.7225407513
-409,old_age_65_plus,0.4762884225
-409,working_age_15_64,7.1408382366
-409,young_0_14,3.3464958519
-408,old_age_65_plus,0.3323046553
-408,working_age_15_64,4.9953699484
-408,young_0_14,2.3375673369
-407,old_age_65_plus,10.2590525188
-407,working_age_15_64,148.6909601688
-407,young_0_14,69.8886580467
-406,old_age_65_plus,0.0780115952
-406,working_age_15_64,1.1448894385
-406,young_0_14,0.5230849236
-405,old_age_65_plus,0.2949144423
-405,working_age_15_64,5.1159737539
-405,young_0_14,3.2367107160
-404,old_age_65_plus,21.5354847244
-404,working_age_15_64,325.7558522895
-404,young_0_14,169.0606992915
-403,old_age_65_plus,0.4861945283
-403,working_age_15_64,7.4810358780
-403,young_0_14,3.7135227770
-402,old_age_65_plus,1.1515498063
-402,working_age_15_64,17.7551616468
-402,young_0_14,9.3075650819
-401,old_age_65_plus,0.0813566742
-401,working_age_15_64,1.6979164817
-401,young_0_14,1.3805945478
-400,old_age_65_plus,3.2940904185
-400,working_age_15_64,50.1992196578
-400,young_0_14,24.3957471550
-399,old_age_65_plus,8.7960493379
-399,working_age_15_64,125.7131819325
-399,young_0_14,61.1639867052
-398,old_age_65_plus,0.2206852959
-398,working_age_15_64,3.1677206978
-398,young_0_14,1.5214380845
-397,old_age_65_plus,1.9910303764
-397,working_age_15_64,28.7410672780
-397,young_0_14,13.8434691941
-396,old_age_65_plus,30.9835699806
-396,working_age_15_64,457.3779931948
-396,young_0_14,216.2563914263
-395,old_age_65_plus,4.8574694031
-395,working_age_15_64,70.0272384113
-395,young_0_14,33.4225226580
-394,old_age_65_plus,1.4888165437
-394,working_age_15_64,25.0536151207
-394,young_0_14,15.8307464947
-393,old_age_65_plus,4.3153234544
-393,working_age_15_64,61.7087409143
-393,young_0_14,29.9023263357
-392,old_age_65_plus,4.5921000715
-392,working_age_15_64,65.9603435315
-392,young_0_14,31.7278725640
-391,old_age_65_plus,80.8515115725
-391,working_age_15_64,1181.8153884504
-391,young_0_14,545.1496960123
-390,old_age_65_plus,9.9523002997
-390,working_age_15_64,144.7115449607
-390,young_0_14,72.7926208675
-389,old_age_65_plus,10.6834640587
-389,working_age_15_64,154.9501564987
-389,young_0_14,76.1256724298
-388,old_age_65_plus,8.4426129698
-388,working_age_15_64,126.4255343573
-388,young_0_14,66.1842714506
-387,old_age_65_plus,5.9004850065
-387,working_age_15_64,84.1072667345
-387,young_0_14,40.6063359870
-386,old_age_65_plus,25.3767545687
-386,working_age_15_64,376.4820540521
-386,young_0_14,182.3856196656
-385,old_age_65_plus,8.6566479188
-385,working_age_15_64,125.3449377327
-385,young_0_14,60.7428830953
-384,old_age_65_plus,26.2784973401
-384,working_age_15_64,378.0779639408
-384,young_0_14,182.1567201498
-383,old_age_65_plus,26.4191470234
-383,working_age_15_64,380.7942285820
-383,young_0_14,185.6764372892
-382,old_age_65_plus,12.2682686809
-382,working_age_15_64,175.9615786225
-382,young_0_14,85.3540340066
-381,old_age_65_plus,63.3116053062
-381,working_age_15_64,909.1991838146
-381,young_0_14,437.4067370560
-380,old_age_65_plus,37.5553787320
-380,working_age_15_64,540.9971133750
-380,young_0_14,259.9467186183
-379,old_age_65_plus,99.2414046811
-379,working_age_15_64,1481.4695454341
-379,young_0_14,696.7640196909
-378,old_age_65_plus,10.3379212167
-378,working_age_15_64,153.3032424999
-378,young_0_14,78.8588928734
-377,old_age_65_plus,18.7321792463
-377,working_age_15_64,270.5953723714
-377,young_0_14,132.3857228328
-376,old_age_65_plus,27.5905110300
-376,working_age_15_64,397.2124868194
-376,young_0_14,191.1853172448
-375,old_age_65_plus,12.3898694745
-375,working_age_15_64,189.2689355295
-375,young_0_14,108.6280339677
-374,old_age_65_plus,13.8923986045
-374,working_age_15_64,209.0983529442
-374,young_0_14,111.4346195890
-373,old_age_65_plus,96.6579933468
-373,working_age_15_64,1389.3486847845
-373,young_0_14,667.1089994665
-372,old_age_65_plus,14.5437560074
-372,working_age_15_64,211.2364077961
-372,young_0_14,100.5815468808
-371,old_age_65_plus,45.3781197402
-371,working_age_15_64,676.2431541480
-371,young_0_14,359.8021266155
-370,old_age_65_plus,37.7997442395
-370,working_age_15_64,548.3793370184
-370,young_0_14,263.5054038642
-369,old_age_65_plus,25.5451273552
-369,working_age_15_64,372.8230677918
-369,young_0_14,174.6291811857
-368,old_age_65_plus,30.9390261638
-368,working_age_15_64,444.6541864555
-368,young_0_14,214.1517756991
-367,old_age_65_plus,24.0220875902
-367,working_age_15_64,364.7050634124
-367,young_0_14,198.1912034978
-366,old_age_65_plus,77.6083731303
-366,working_age_15_64,1121.8401595194
-366,young_0_14,533.8380409217
-365,old_age_65_plus,16.7957072950
-365,working_age_15_64,243.2066070342
-365,young_0_14,115.8438900379
-364,old_age_65_plus,48.0078994120
-364,working_age_15_64,692.6724443270
-364,young_0_14,336.4728447536
-363,old_age_65_plus,11.8425414424
-363,working_age_15_64,172.3963284765
-363,young_0_14,80.3783338168
-362,old_age_65_plus,9.4672510251
-362,working_age_15_64,138.8831843641
-362,young_0_14,69.4808888957
-361,old_age_65_plus,9.4400094518
-361,working_age_15_64,139.9494312207
-361,young_0_14,65.8886385071
-360,old_age_65_plus,17.9938718129
-360,working_age_15_64,267.0890735528
-360,young_0_14,139.3009090787
-359,old_age_65_plus,69.2602801349
-359,working_age_15_64,1005.6436534701
-359,young_0_14,472.1529625943
-358,old_age_65_plus,44.7688452719
-358,working_age_15_64,607.6430702716
-358,young_0_14,289.3252264620
-357,old_age_65_plus,26.5543380815
-357,working_age_15_64,376.9407484287
-357,young_0_14,189.6935374025
-356,old_age_65_plus,30.0398743399
-356,working_age_15_64,431.9549767263
-356,young_0_14,208.2243884346
-355,old_age_65_plus,2.8565034075
-355,working_age_15_64,41.0027127825
-355,young_0_14,19.6933593079
-354,old_age_65_plus,117.4909146924
-354,working_age_15_64,1686.7152912392
-354,young_0_14,809.9727497087
-353,old_age_65_plus,31.4809727182
-353,working_age_15_64,454.3165634382
-353,young_0_14,216.1143773370
-352,old_age_65_plus,27.9109561859
-352,working_age_15_64,285.3566510752
-352,young_0_14,131.5244494183
-351,old_age_65_plus,35.8422302931
-351,working_age_15_64,515.0535770832
-351,young_0_14,247.2639550846
-350,old_age_65_plus,8.8606541279
-350,working_age_15_64,127.3786815951
-350,young_0_14,61.0610939743
-349,old_age_65_plus,64.6660848011
-349,working_age_15_64,177.4531947970
-349,young_0_14,72.0166433379
-348,old_age_65_plus,1.4350826045
-348,working_age_15_64,21.9629928407
-348,young_0_14,11.3941895330
-347,old_age_65_plus,8.2711770647
-347,working_age_15_64,129.0957148037
-347,young_0_14,77.1315456884
-346,old_age_65_plus,40.6115726415
-346,working_age_15_64,587.4978390578
-346,young_0_14,277.3236336801
-345,old_age_65_plus,0.8837033290
-345,working_age_15_64,12.6431125961
-345,young_0_14,5.9988990390
-344,old_age_65_plus,9.8143577520
-344,working_age_15_64,147.2193673030
-344,young_0_14,71.0844908357
-343,old_age_65_plus,83.9548633575
-343,working_age_15_64,1209.6513210796
-343,young_0_14,577.7397493059
-342,old_age_65_plus,3.3612302520
-342,working_age_15_64,49.1586588046
-342,young_0_14,22.6703125546
-341,old_age_65_plus,2.5401719068
-341,working_age_15_64,37.4918437288
-341,young_0_14,17.7473304137
-340,old_age_65_plus,318.6409606496
-340,working_age_15_64,4133.8280608563
-340,young_0_14,1979.6138567328
-339,old_age_65_plus,4.8893064742
-339,working_age_15_64,70.7847827400
-339,young_0_14,33.7154863244
-338,old_age_65_plus,17.9866565350
-338,working_age_15_64,258.5281341511
-338,young_0_14,124.0528148073
-337,old_age_65_plus,17.2192478758
-337,working_age_15_64,247.3359220810
-337,young_0_14,118.6147432774
-336,old_age_65_plus,24.6488567580
-336,working_age_15_64,362.0799651683
-336,young_0_14,166.3493117961
-335,old_age_65_plus,0.4127288615
-335,working_age_15_64,6.0653527981
-335,young_0_14,2.8236523280
-334,old_age_65_plus,111.1452026692
-334,working_age_15_64,683.7431788845
-334,young_0_14,291.0620033238
-333,old_age_65_plus,3.4105697479
-333,working_age_15_64,49.7230123878
-333,young_0_14,23.0631495118
-332,old_age_65_plus,154.8858460984
-332,working_age_15_64,2224.7042203024
-332,young_0_14,1067.1023046188
-331,old_age_65_plus,14.2410851677
-331,working_age_15_64,200.9450819194
-331,young_0_14,102.1522639804
-330,old_age_65_plus,25.3782767624
-330,working_age_15_64,364.3972453116
-330,young_0_14,175.0574357477
-329,old_age_65_plus,37.0996274062
-329,working_age_15_64,540.8497769851
-329,young_0_14,256.7751635071
-328,old_age_65_plus,124.5821978198
-328,working_age_15_64,1792.0597646088
-328,young_0_14,876.7508518892
-327,old_age_65_plus,34.6635831141
-327,working_age_15_64,363.4846655130
-327,young_0_14,161.6689088298
-326,old_age_65_plus,3.6823420044
-326,working_age_15_64,53.7098653589
-326,young_0_14,24.9053913559
-325,old_age_65_plus,4.8041585425
-325,working_age_15_64,69.6208218834
-325,young_0_14,32.9841135496
-324,old_age_65_plus,84.0889929649
-324,working_age_15_64,1213.0587427136
-324,young_0_14,584.0006121686
-323,old_age_65_plus,12.1390644409
-323,working_age_15_64,178.3360219598
-323,young_0_14,82.0281373486
-322,old_age_65_plus,30.1782125469
-322,working_age_15_64,448.6411878523
-322,young_0_14,224.7016118896
-321,old_age_65_plus,36.8036106022
-321,working_age_15_64,539.8216913604
-321,young_0_14,248.2790688183
-320,old_age_65_plus,8.5621234282
-320,working_age_15_64,124.0185753023
-320,young_0_14,63.6981102526
-319,old_age_65_plus,19.2061816140
-319,working_age_15_64,243.0509222560
-319,young_0_14,109.5218302999
-318,old_age_65_plus,13.6171274765
-318,working_age_15_64,197.8208284499
-318,young_0_14,97.4250197466
-317,old_age_65_plus,81.6104525514
-317,working_age_15_64,1172.0437839031
-317,young_0_14,564.6393011808
-316,old_age_65_plus,10.7341149187
-316,working_age_15_64,157.5238043964
-316,young_0_14,74.6673533395
-315,old_age_65_plus,137.4729927061
-315,working_age_15_64,1976.0525198054
-315,young_0_14,948.9011872307
-314,old_age_65_plus,94.6627461620
-314,working_age_15_64,1361.9134615726
-314,young_0_14,656.3385732080
-313,old_age_65_plus,2.2678386585
-313,working_age_15_64,33.8099089592
-313,young_0_14,17.0373905988
-312,old_age_65_plus,4.6928267283
-312,working_age_15_64,72.3206525669
-312,young_0_14,38.5497898981
-311,old_age_65_plus,11.6169175699
-311,working_age_15_64,167.6107746824
-311,young_0_14,79.9540764978
-310,old_age_65_plus,17.4199014097
-310,working_age_15_64,263.5528602977
-310,young_0_14,144.2196303136
-309,old_age_65_plus,13.1341366460
-309,working_age_15_64,192.9183611284
-309,young_0_14,88.5337514910
-308,old_age_65_plus,61.3388760919
-308,working_age_15_64,889.5164031014
-308,young_0_14,418.8852477521
-307,old_age_65_plus,10.9418706684
-307,working_age_15_64,162.1620002917
-307,young_0_14,80.9004110397
-306,old_age_65_plus,30.2514171611
-306,working_age_15_64,437.8938012682
-306,young_0_14,206.8379399627
-305,old_age_65_plus,33.9151303244
-305,working_age_15_64,501.0258238018
-305,young_0_14,238.8217183575
-304,old_age_65_plus,6.3157007971
-304,working_age_15_64,92.2523761336
-304,young_0_14,42.7842520569
-303,old_age_65_plus,15.6314566907
-303,working_age_15_64,234.8444871474
-303,young_0_14,123.6980905849
-302,old_age_65_plus,26.0575202378
-302,working_age_15_64,377.6968002766
-302,young_0_14,173.9937363081
-301,old_age_65_plus,22.4518610841
-301,working_age_15_64,341.1687959279
-301,young_0_14,190.9992184127
-300,old_age_65_plus,55.6609907249
-300,working_age_15_64,805.3690889627
-300,young_0_14,382.6354713710
