elevation_group,settlement_class,population_2015,population_2025,youth_population_2015,youth_population_2025,working_age_population_2015,working_age_population_2025,old_age_population_2015,old_age_population_2025,population_2025_millions,population_change_percent,youth_share_2015_percent,youth_share_2025_percent,youth_share_change_pp,youth_share_change_percent,working_age_share_2015_percent,working_age_share_2025_percent,working_age_share_change_pp,working_age_share_change_percent,old_age_share_2015_percent,old_age_share_2025_percent,old_age_share_change_pp,old_age_share_change_percent
<100 m,Low-density rural,443549060.98496056,477621690.95293105,112649833.29679945,110026603.6053769,289011039.28626466,310152952.48138815,41888188.40189646,57442134.86616604,477.62169095293103,7.681817630795473,25.39737837493,23.036349832826136,-2.3610285421038633,-9.296347470392686,65.15875349718397,64.93694870988456,-0.2218047872994049,-0.340406737997212,9.44386812788603,12.026701457289317,2.582833329403286,27.34931592041874
<100 m,Rural cluster,85732494.21051188,93386928.22207558,21737051.339081164,21902774.48047813,55209362.68876246,59907774.63943781,8786080.18266826,11576379.102159653,93.38692822207558,8.9282763578167,25.354507108712962,23.453790479533698,-1.9007166291792643,-7.496563120038302,64.39724307238585,64.1500644468958,-0.24717862549005076,-0.3838341731682626,10.248249818901193,12.396145073570512,2.1478952546693186,20.95865433244888
<100 m,Peri-urban,670246378.6795845,725376542.4954845,173908005.312242,166952013.82499573,439391101.2779835,477279844.85682446,56947272.089359045,81144683.81366427,725.3765424954845,8.225357953370649,25.946877274420878,23.015910226520045,-2.9309670479008325,-11.296030026666282,65.55665427743209,65.79752954442907,0.24087526699698003,0.36743068976279325,8.496468448147043,11.186560229050887,2.6900917809038436,31.66129312809387
<100 m,Semi-dense urban,83886397.08637431,90377370.2311169,21798585.414393444,20849735.84953771,54498693.308767386,58928701.380439945,7589118.363213467,10598933.001139244,90.3773702311169,7.737813722121256,25.98584057907309,23.069642097595747,-2.9161984814773447,-11.222259570951943,64.9672595339294,65.20293877742286,0.2356792434934647,0.36276617666222144,9.046899886997496,11.727419124981393,2.680519237983898,29.629146685224494
<100 m,Dense urban,303966979.92735285,329455828.41210157,77756540.44987148,76026561.51942791,197700128.2992115,214328559.3393877,28510311.178269845,39100707.55328598,329.45582841210154,8.385400444101032,25.58058788768933,23.076405078598178,-2.5041828090911515,-9.789387249760162,65.04000149834077,65.05532482833895,0.01532332999818209,0.02355985492801249,9.379410613969885,11.868270093062872,2.488859479092987,26.53535047699085
<100 m,Urban centre,1665612847.066712,1794846736.5257514,377530461.33965045,367640060.111644,1141339012.2730181,1222887439.3087232,146743373.45404327,204319237.10538423,1794.8467365257513,7.758939280915822,22.66615930613853,20.483089315095366,-2.183069991043162,-9.63140672205518,68.52366768682259,68.13325140372942,-0.3904162830931739,-0.569753920466598,8.810173007038882,11.383659281175218,2.573486274136336,29.210394303043195
100-499 m,Low-density rural,693980652.7423395,758285940.4715575,195365553.62676522,198886693.30517533,437041030.11853325,477006589.11041254,61574068.99704099,82392658.05596961,758.2859404715575,9.266149924368738,28.151440945040346,26.228455875298582,-1.9229850697417632,-6.830858404356565,62.97596746991698,62.90589916697849,-0.07006830293848765,-0.11126197143689343,8.872591585042667,10.86564495772292,1.9930533726802526,22.463035220060434
100-499 m,Rural cluster,157275720.04897866,176854603.2877641,44544603.83227592,47253971.94019221,99023772.99473955,111182960.61744611,13707343.221963199,18417670.73012576,176.8546032877641,12.448764013090008,28.322619548906772,26.71910770866631,-1.6035118402404613,-5.661594392678115,62.96189454030264,62.86687400301242,-0.09502053729021753,-0.15091753191986967,8.715485910790598,10.414018288321255,1.6985323775306576,19.48867102668037
100-499 m,Peri-urban,510064806.1158387,563886902.82006,138474612.27069303,138635882.53941083,328519367.21945477,365192074.2050124,43070826.62569089,60058946.07563673,563.88690282006,10.5520114422476,27.14843498518983,24.585760344153698,-2.562674641036132,-9.439493077351003,64.40737790186725,64.76335456252785,0.35597666066060185,0.5526954710110665,8.44418711294291,10.650885093318426,2.206697980375516,26.132746122988905
100-499 m,Semi-dense urban,77187993.42320059,85219450.15201777,21197689.834121447,21406932.0320616,49193254.48540832,54530687.737858534,6797049.103670834,9281830.382097635,85.21945015201777,10.405059611775247,27.462418562820165,25.119772533001655,-2.3426460298185106,-8.53037042043372,63.73174415312911,63.988546793700934,0.2568026405718271,0.4029430607686013,8.805837284050742,10.891680673297405,2.085843389246662,23.687053507388466
