continent,elevation_group,population_2015,population_2025,absolute_change_2015_2025,percent_change_2015_2025
Africa,<100m,300101345.73824877,370926288.0083112,70824942.27006245,23.600341443265847
Africa,100-499m,388706680.8429395,498588122.9828635,109881442.13992399,28.268472747017846
Africa,500-1499m,347990353.68764436,448205427.47341526,100215073.7857709,28.798233262443762
Africa,1500-2499m,151453209.51372796,193435614.96071762,41982405.446989655,27.719719893545275
Africa,2500-3499m,16045755.469477775,21013298.63318058,4967543.163702806,30.958611909249544
Africa,>=3500m,140106.53951906832,179582.50214128752,39475.9626222192,28.1756745671722
Asia,<100m,2265615352.6113753,2418654786.5039263,153039433.89255095,6.754872742019331
Asia,100-499m,1383345736.8030486,1512491919.727029,129146182.92398047,9.335784937064323
Asia,500-1499m,649590966.9417791,710193426.4292741,60602459.487494946,9.32932607927206
Asia,1500-2499m,147803189.17556337,164271649.11607182,16468459.940508455,11.142154666870493
Asia,2500-3499m,9733264.94334034,10796020.633255329,1062755.6899149884,10.918799561108662
Asia,>=3500m,4630792.049361062,4741179.320616308,110387.27125524543,2.383766536665714
Europe,<100m,320399213.48963636,326491727.8407956,6092514.351159215,1.9015384853172506
Europe,100-499m,368869680.10997593,364248771.71732664,-4620908.392649293,-1.2527211212565916
Europe,500-1499m,53503302.11454774,53540220.30150852,36918.18696078658,0.06900169802930424
Europe,1500-2499m,564264.8910252254,573059.3822108823,8794.491185656865,1.558574939808493
Europe,2500-3499m,7129.153346141796,7297.028642482846,167.87529634105067,2.3547718528442454
Europe,>=3500m,115.64036167725676,125.26213322605675,9.621771548799984,8.320426717147079
North America,<100m,200858721.1524384,217405578.03229997,16546856.879861563,8.238057468912988
North America,100-499m,222170039.9761758,236615870.9001381,14445830.923962295,6.502150751519593
North America,500-1499m,67341250.10606882,74140569.2139516,6799319.107882783,10.096811534049657
North America,1500-2499m,72257589.20415543,79122294.54183914,6864705.3376837075,9.50032434418519
North America,2500-3499m,7210693.185193325,7938971.508148649,728278.3229553234,10.099976579932623
North America,>=3500m,7405.561080112469,8445.873035347156,1040.311955234687,14.047712846882463
Oceania,<100m,27845215.104295626,31585312.233177926,3740097.1288823,13.431740839040323
Oceania,100-499m,6872263.143050259,7770028.041308748,897764.8982584886,13.063598985821358
Oceania,500-1499m,2227566.637663631,2667511.259705428,439944.62204179727,19.75000947685365
Oceania,1500-2499m,3063070.346323828,4055008.408747767,991938.0624239389,32.38378327204997
Oceania,2500-3499m,121004.34269153996,158036.55786748274,37032.21517594278,30.604038129725648
Oceania,>=3500m,239.26602959151205,252.1027606386342,12.836731047122157,5.365045371897432
South America,<100m,140469735.20130447,148534520.99094102,8064785.789636552,5.741297780677854
South America,100-499m,103037888.91400099,109044793.0947741,6006904.180773109,5.8298012935675345
South America,500-1499m,122062906.26094107,131543128.86977093,9480222.608829856,7.766669579834045
South America,1500-2499m,12811971.973193157,14441352.521690244,1629380.5484970864,12.717640593550191
South America,2500-3499m,23049392.189352773,26158425.146068778,3109032.9567160048,13.488568076654806
South America,>=3500m,6289620.997887697,7167168.1660707705,877547.1681830734,13.95230600504845
