metric,value,unit,source_table,note
"population below 500 m, 2025",6242357720.072887,people,data/figure_data/fig1_elevation_summary.csv,6.24 billion; 76.2% of global population
"population below 100 m, 2025",3513598213.609451,people,data/figure_data/fig1_elevation_summary.csv,3.51 billion
"population below 150 m, 2025",4125621374.923416,people,data/figure_data/fig1_elevation_profile_2025.csv,4.13 billion; 50.3% of global population
"population-weighted median elevation, 2025",148.0,meters,data/figure_data/fig1_elevation_profile_2025.csv,148 m
"share of young population below 150 m, 2025",0.4490579828584554,share,data/figure_data/fig1_elevation_profile_2025.csv,44.9%
"share of working-age population below 150 m, 2025",0.5139363276570575,share,data/figure_data/fig1_elevation_profile_2025.csv,51.4%
"share of old-age population below 150 m, 2025",0.5655354350516296,share,data/figure_data/fig1_elevation_profile_2025.csv,56.6%
"population 1,500–3,499 m, 2025",521971028.4384403,people,data/figure_data/fig1_elevation_summary.csv,0.52 billion
"youth share below 500 m, 2025",0.2323059786099842,share,data/figure_data/fig1_elevation_summary.csv,23.2%
"youth share 1,500–3,499 m, 2025",0.3071245759468204,share,data/figure_data/fig1_elevation_summary.csv,30.7%
"growth below 500 m, 2015–2025",0.0897415596788393,share,data/figure_data/fig1_elevation_summary.csv,9.0%
"growth 1,500–3,499 m, 2015–2025",0.1752913635448876,share,data/figure_data/fig1_elevation_summary.csv,17.5%
"population ≥3,500 m, 2025",12096753.226757538,people,data/figure_data/fig1_elevation_summary.csv,12.1 million; 0.1% of global population
strongest Figure 2 population cell,1794846736.5257514,people,data/figure_data/fig2_elevation_settlement_age_shares.csv,<100 m / Urban centre
strongest Figure 2 youth-share cell,0.3489702348152506,share,data/figure_data/fig2_elevation_settlement_age_shares.csv,"1,500–2,499 m / Semi-dense urban; 34.9%"
strongest Figure 2 growth cell,0.2371522618975045,share,data/figure_data/fig2_elevation_settlement_age_shares.csv,"2,500–3,499 m / Peri-urban; 23.7%"
