check_id,check_name,comparison,elevation_definition,settlement_class,geography_filter,time_window,year_start,year_end,population_start,population_end,absolute_change,percent_change,share_under_15_start,share_under_15_end,share_65plus_start,share_65plus_end,dependency_ratio_start,dependency_ratio_end,male_share_start,male_share_end,notes
A1,Primary comparison,Lowland reference,<500 m,,global,2015-2025,2015,2025,5728291873.086486,6242357720.072887,514065846.98640156,8.974155967883938,,23.23059786099843,,11.123547729788942,,52.33254392065032,,50.32476945371815,Age-structure metrics are available for 2025 only in Dataset S1.
A2,Primary comparison,Primary inhabited highlands,1500-3500 m,,global,2015-2025,2015,2025,444120534.3873905,521971028.4384403,77850494.05104983,17.529136354488763,,30.712457594682043,,6.379100398006281,,58.961177242916406,,49.81007725131218,Age-structure metrics are available for 2025 only in Dataset S1.
B1,Alternative highland threshold,>=1500 m,>=1500 m,,global,2015-2025,2015,2025,455188814.44162965,534067781.66519785,78878967.2235682,17.328845683593375,,30.594205470009218,,6.405025821576972,,58.728221972702556,,49.83165184519058,Age-structure metrics are available for 2025 only in Dataset S1.
B2,Alternative highland threshold,>=2500 m,>=2500 m,,global,2015-2025,2015,2025,67235519.33764105,78168802.73392083,10933283.396279782,16.26117192815213,,28.20428816759049,,7.068105943745423,,54.493586819829,,49.46817035544793,Age-structure metrics are available for 2025 only in Dataset S1.
B3,Alternative highland threshold,>=3500 m,>=3500 m,,global,2015-2025,2015,2025,11068280.054239174,12096753.226757538,1028473.1725183632,9.29207760806934,,25.491664153883796,,7.523699547512215,,49.28796441354131,,50.76278863744184,Age-structure metrics are available for 2025 only in Dataset S1.
D_lowland_low_density_rural,Settlement-class sensitivity,Lowland reference,<500 m,Low-density rural,global,2015-2025,2015,2025,1137529713.7273002,1235907631.4244885,98377917.69718838,8.648382236525253,,24.994853098730644,,,,,,50.417704659117234,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_highland_low_density_rural,Settlement-class sensitivity,Primary inhabited highlands,1500-3500 m,Low-density rural,global,2015-2025,2015,2025,125759035.88087337,148305075.64701012,22546039.76613675,17.92796804477233,,33.97634811638779,,,,,,49.95345068538661,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_lowland_rural_cluster,Settlement-class sensitivity,Lowland reference,<500 m,Rural cluster,global,2015-2025,2015,2025,243008214.25949055,270241531.5104208,27233317.25093025,11.206747613004472,,25.590717323995264,,,,,,50.30363959073035,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_highland_rural_cluster,Settlement-class sensitivity,Primary inhabited highlands,1500-3500 m,Rural cluster,global,2015-2025,2015,2025,21911548.396152936,26034973.080864605,4123424.6847116686,18.818499770813226,,31.54669456975775,,,,,,49.9902020047928,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_lowland_peri_urban,Settlement-class sensitivity,Lowland reference,<500 m,Peri-urban,global,2015-2025,2015,2025,1180311184.7954233,1289263445.3155446,108952260.52012134,9.230808105830619,,23.70251770301411,,,,,,50.39733509414888,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_highland_peri_urban,Settlement-class sensitivity,Primary inhabited highlands,1500-3500 m,Peri-urban,global,2015-2025,2015,2025,93405769.40484829,113555369.16643454,20149599.76158625,21.572114752625087,,34.463695725938784,,,,,,49.71054594908188,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_lowland_semi_dense_urban,Settlement-class sensitivity,Lowland reference,<500 m,Semi-dense urban,global,2015-2025,2015,2025,161074390.5095749,175596820.38313466,14522429.873559773,9.0159769207362,,24.06459740523746,,,,,,50.31382052786041,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_highland_semi_dense_urban,Settlement-class sensitivity,Primary inhabited highlands,1500-3500 m,Semi-dense urban,global,2015-2025,2015,2025,12651743.600806648,15382907.564635478,2731163.96382883,21.587253504368338,,34.76570373743606,,,,,,49.679389997544796,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_lowland_dense_urban,Settlement-class sensitivity,Lowland reference,<500 m,Dense urban,global,2015-2025,2015,2025,540687985.853894,590659915.8756378,49971930.021743774,9.242286000275085,,24.043593391213765,,,,,,50.20520835368315,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_highland_dense_urban,Settlement-class sensitivity,Primary inhabited highlands,1500-3500 m,Dense urban,global,2015-2025,2015,2025,39005208.371982165,45257341.55601969,6252133.184037529,16.02897009141092,,29.860884747251358,,,,,,50.071430516943806,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_lowland_urban_centre,Settlement-class sensitivity,Lowland reference,<500 m,Urban centre,global,2015-2025,2015,2025,2463122060.5539913,2677862110.836798,214740050.28280687,8.718205797503547,,21.713921994062865,,,,,,50.276162453284144,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
D_highland_urban_centre,Settlement-class sensitivity,Primary inhabited highlands,1500-3500 m,Urban centre,global,2015-2025,2015,2025,151365164.04690382,173410351.69143242,22045187.644528598,14.56424123961403,,25.20254154898321,,,,,,49.66897816955551,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
