elevation_group,settlement_class,pop_2015_static2025,pop_2025_static2025,growth_static2025,growth_dynamic,difference_pp
<100 m,Low-density rural,443549060.98496056,477621690.95293105,7.681817630795479,-3.175798747723734,-10.857616378519213
<100 m,Rural cluster,85732494.21051188,93386928.22265668,8.9282763578167,3.73986197429061,-5.188414383526089
<100 m,Peri-urban,670246378.6795845,725376542.4954845,8.22535795337065,6.357909367299047,-1.8674485860716032
<100 m,Semi-dense urban,83886397.08637431,90377370.2311169,7.737813722121252,10.185308803668203,2.447495081546953
<100 m,Dense urban,303966979.92735285,329455828.41210157,8.385400444101025,5.667123718281262,-2.718276725819763
<100 m,Urban centre,1665612847.066712,1794846736.5257514,7.758939280915819,11.440873075711016,3.6819337947951967
100-499 m,Low-density rural,693980652.7423395,758285940.4715575,9.266149924368744,-2.075540478323221,-11.341690402691963
100-499 m,Rural cluster,157275720.04897866,176854603.2877641,12.448764013090011,5.87306763345842,-6.575696379631592
100-499 m,Peri-urban,510064806.1158387,563886902.82006,10.552011442247592,22.856566295936652,12.30455485368906
100-499 m,Semi-dense urban,77187993.42320059,85219450.15201777,10.405059611775249,30.94164480027497,20.53658518849972
100-499 m,Dense urban,236721005.92654112,261204087.46353617,10.34258934527872,12.431015144809638,2.088425799530917
100-499 m,Urban centre,797509213.4872794,883015374.311047,10.72165178504441,13.722975939591814,3.0013241545474045
500-1499 m,Low-density rural,394904317.9306954,452536823.5125617,14.594042902306429,3.074569815189961,-11.519473087116468
500-1499 m,Rural cluster,78484478.20474386,91208812.24806409,16.212548435534,11.655570027563815,-4.556978407970183
500-1499 m,Peri-urban,220057183.68083552,254611295.8341173,15.702333173271022,32.73074754217623,17.02841436890521
500-1499 m,Semi-dense urban,28760537.91542685,33262792.702448983,15.654278790826002,36.15326638041237,20.498987589586367
500-1499 m,Dense urban,110426217.71107727,125488800.62610844,13.640404631481063,15.11472013027828,1.4743154987972158
500-1499 m,Urban centre,409972123.6643691,463047735.51606333,12.94615140515258,15.807223818183571,2.861072413030991
1500-2499 m,Low-density rural,108266222.34269328,127603905.5665947,17.8612339153131,-0.6795125357059172,-18.540746451019015
1500-2499 m,Rural cluster,19030523.38120549,22619661.67369092,18.85990322278815,13.049948426064804,-5.809954796723348
1500-2499 m,Peri-urban,83947042.53149958,101853483.82040048,21.330639828296317,44.34856409603602,23.017924267739705
1500-2499 m,Semi-dense urban,11639370.557832023,14153355.449735878,21.598976331346528,54.585923873298135,32.98694754195161
1500-2499 m,Dense urban,34279539.915141135,39820197.45976648,16.163161927905733,21.355712989929792,5.192551062024059
1500-2499 m,Urban centre,130770663.5184279,149825693.1878279,14.57133362844397,17.049100559115494,2.4777669306715246
2500-3499 m,Low-density rural,17492813.53818008,20701170.08041541,18.340997777359956,-2.4584788170660277,-20.799476594425983
2500-3499 m,Rural cluster,2881025.0149474433,3415311.4071736857,18.54501052417933,11.417970367855604,-7.127040156323725
2500-3499 m,Peri-urban,9458726.873348713,11701885.34603407,23.71522618975045,83.6621700139043,59.946943824153855
2500-3499 m,Semi-dense urban,1012373.0429746244,1229552.1148995997,21.45247479988645,56.52578397549611,35.073309175609666
2500-3499 m,Dense urban,4725668.456841031,5437144.0962532135,15.055555545421878,22.63991476620831,7.584359220786435
2500-3499 m,Urban centre,20594500.52847592,23584658.50360452,14.51920609093736,16.590879117421665,2.071673026484305
>=3500 m,Low-density rural,4354097.0635296935,4810843.154273544,10.490030058576256,7.225227638940483,-3.264802419635773
>=3500 m,Rural cluster,1221666.437914577,1304417.4921946377,6.773620991120883,6.7293360420612185,-0.0442849490596648
>=3500 m,Peri-urban,757835.3546815229,813643.3083310619,7.364126429940969,10.437326427223256,3.0731999972822877
>=3500 m,Semi-dense urban,271269.39137855073,279843.4656149994,3.160723070478578,66.07478809271495,62.91406502223638
>=3500 m,Dense urban,1271768.941425761,1336206.0353885868,5.0667296443476895,0.0323597940303804,-5.034369850317309
>=3500 m,Urban centre,3188748.9220830686,3548622.3471834026,11.285724711911298,12.592046350832309,1.3063216389210108
