year,threshold_m,broad_age_group,age_group_label,population_below_or_equal,percent_below_or_equal_within_age_group,population_above,percent_above_within_age_group,age_group_total_population
2015,100,young_0_14,Young (0-14),789281218.5268564,39.83250355802044,1192219184.4723704,60.167496441979566,1981500402.9992268
2015,100,working_age_15_64,Working age (15-64),2187106542.7973604,45.20684219758201,2650892389.3960114,54.793157802417994,4837998932.193372
2015,100,old_age_65_plus,Older (65+),291864750.2313504,48.10711350199654,314832947.85281646,51.89288649800346,606697698.0841669
2015,150,young_0_14,Young (0-14),928374516.2173116,46.85209827926913,1053125886.7819152,53.14790172073087,1981500402.9992268
2015,150,working_age_15_64,Working age (15-64),2551247196.8111873,52.73352128778882,2286751735.3821845,47.26647871221118,4837998932.193372
2015,150,old_age_65_plus,Older (65+),344978793.9361308,56.86172784658762,261718904.14803606,43.13827215341238,606697698.0841669
2015,200,young_0_14,Young (0-14),1041996673.0226003,52.586245828939504,939503729.9766265,47.4137541710605,1981500402.9992268
2015,200,working_age_15_64,Working age (15-64),2839097121.572402,58.683293679133975,1998901810.6209698,41.316706320866025,4837998932.193372
2015,200,old_age_65_plus,Older (65+),385725241.85308677,63.577831772088786,220972456.2310801,36.422168227911214,606697698.0841669
2015,500,young_0_14,Young (0-14),1458931803.8583992,73.62763094320543,522568599.14082766,26.372369056794565,1981500402.9992268
2015,500,working_age_15_64,Working age (15-64),3769658799.9274006,77.91772699334547,1068340132.2659712,22.082273006654525,4837998932.193372
2015,500,old_age_65_plus,Older (65+),502872331.5097274,82.88680393838649,103825366.57443947,17.113196061613507,606697698.0841669
2015,1000,young_0_14,Young (0-14),1689864161.835969,85.28204986878463,291636241.16325784,14.717950131215375,1981500402.9992268
2015,1000,working_age_15_64,Working age (15-64),4298799457.643824,88.8549071195207,539199474.5495481,11.145092880479304,4837998932.193372
2015,1000,old_age_65_plus,Older (65+),561344223.1936672,92.52453486576312,45353474.89049971,7.475465134236894,606697698.0841669
2015,1500,young_0_14,Young (0-14),1830974990.1824162,92.4034629218862,150525412.8168106,7.5965370781137995,1981500402.9992268
2015,1500,working_age_15_64,Working age (15-64),4557110036.962945,94.19411002013011,280888895.2304268,5.805889979869881,4837998932.193372
2015,1500,old_age_65_plus,Older (65+),583485349.2052922,96.17398434967286,23212348.87887466,3.826015650327129,606697698.0841669
2015,3500,young_0_14,Young (0-14),1978355727.9457965,99.84129828847522,3144675.053430319,0.1587017115247867,1981500402.9992268
2015,3500,working_age_15_64,Working age (15-64),4830749273.595968,99.85015171150282,7249658.597403526,0.14984828849717824,4837998932.193372
2015,3500,old_age_65_plus,Older (65+),606030376.0763416,99.89000749303442,667322.0078252554,0.10999250696558241,606697698.0841669
2025,100,young_0_14,Young (0-14),767214778.2696465,38.120705876237814,1245378537.185938,61.87929412376217,2012593315.4555845
2025,100,working_age_15_64,Working age (15-64),2354235338.7928214,44.094665187740794,2984812658.8940873,55.9053348122592,5339047997.686909
2025,100,old_age_65_plus,Older (65+),406079974.2750134,48.05256668624007,438994497.8682093,51.94743331375993,845074472.1432227
2025,150,young_0_14,Young (0-14),903771094.5528957,44.905798285845535,1108822220.902689,55.094201714154465,2012593315.4555845
2025,150,working_age_15_64,Working age (15-64),2743930721.1159763,51.39363276570575,2595117276.5709324,48.60636723429424,5339047997.686909
2025,150,old_age_65_plus,Older (65+),477919559.25454366,56.55354350516296,367154912.888679,43.446456494837044,845074472.1432227
2025,200,young_0_14,Young (0-14),1016434801.4008996,50.503735334667574,996158514.0546849,49.496264665332426,2012593315.4555845
2025,200,working_age_15_64,Working age (15-64),3054668408.655867,57.21372817736932,2284379589.0310416,42.78627182263068,5339047997.686909
2025,200,old_age_65_plus,Older (65+),533250950.07130724,63.10106004254406,311823522.07191545,36.89893995745594,845074472.1432227
2025,500,young_0_14,Young (0-14),1451016031.6378455,72.0968325043544,561577283.817739,27.903167495645615,2012593315.4555845
2025,500,working_age_15_64,Working age (15-64),4100145646.501834,76.79544458634166,1238902351.1850748,23.20455541365834,5339047997.686909
2025,500,old_age_65_plus,Older (65+),694717152.3880951,82.20780242316383,150357319.75512755,17.792197576836173,845074472.1432227
2025,1000,young_0_14,Young (0-14),1691626718.2826004,84.05208868040349,320966597.1729841,15.947911319596523,2012593315.4555845
2025,1000,working_age_15_64,Working age (15-64),4696601549.123716,87.96702241969868,642446448.5631924,12.032977580301322,5339047997.686909
2025,1000,old_age_65_plus,Older (65+),777991926.410894,92.06193679449359,67082545.73232865,7.938063205506407,845074472.1432227
2025,1500,young_0_14,Young (0-14),1849407351.9124484,91.89175665595431,163185963.54313612,8.1082433440457,2012593315.4555845
2025,1500,working_age_15_64,Working age (15-64),5002985055.807319,93.70556432485368,336062941.87959003,6.294435675146319,5339047997.686909
2025,1500,old_age_65_plus,Older (65+),810910521.4761055,95.95728521055986,34163950.66711724,4.042714789440137,845074472.1432227
2025,3500,young_0_14,Young (0-14),2009511584.3195574,99.84687760252599,3081731.1360270977,0.15312239747400214,2012593315.4555845
2025,3500,working_age_15_64,Working age (15-64),5330949707.439875,99.84831958336875,8098290.247034073,0.15168041663125298,5339047997.686909
2025,3500,old_age_65_plus,Older (65+),844165060.4141475,99.89238679441247,909411.7290751934,0.10761320558752685,845074472.1432227
