metric,value,unit,note
"population below 500 m, 2025",6242357720,people,6.24 billion; 76.2% of global population
"population below 100 m, 2025",3513598214,people,3.51 billion
"population below 150 m, 2025",4125621375,people,4.13 billion; 50.3% of global population
"population-weighted median elevation, 2025",148,meters,148 m
"share of young population below 150 m, 2025",0.449057983,share,44.90%
"share of working-age population below 150 m, 2025",0.513936328,share,51.40%
"share of old-age population below 150 m, 2025",0.565535435,share,56.60%
"population 1500-3500 m, 2025",521971028.4,people,0.52 billion
"youth share below 500 m, 2025",0.232305979,share,23.20%
"youth share 1500-3500 m, 2025",0.307124576,share,30.70%
"growth below 500 m, 2015-2025",0.08974156,share,9.00%
"growth 1500-3500 m, 2015-2025",0.175291364,share,17.50%
"population >=3500 m, 2025",12096753.23,people,12.1 million; 0.1% of global population
strongest Figure 2 population cell,1794846737,people,<100 m / Urban centre
strongest Figure 2 youth-share cell,0.348970235,share,1500-2499 m / Semi-dense urban; 34.9%
strongest Figure 2 growth cell,0.237152262,share,2500-3499 m / Peri-urban; 23.7%
