ingredient_scope,iso3,country_name,year,elevation_group,population_total,youth_population
excluded_country,AFG,Afghanistan,2015,100-499 m,4314303.106712069,2005580.4440126005
excluded_country,AFG,Afghanistan,2015,1500-2499 m,13369697.063332936,6215774.229473547
excluded_country,AFG,Afghanistan,2015,2500-3499 m,1884823.184777485,876331.690163238
excluded_country,AFG,Afghanistan,2015,500-1499 m,13845725.96852848,6437214.981664683
excluded_country,AFG,Afghanistan,2015,>=3500 m,27508.087157614802,12791.894269612172
excluded_country,AFG,Afghanistan,2025,100-499 m,5684815.710232458,2428733.572611153
excluded_country,AFG,Afghanistan,2025,1500-2499 m,17179758.944219444,7340299.966582583
excluded_country,AFG,Afghanistan,2025,2500-3499 m,2240030.097540098,957136.1032129715
excluded_country,AFG,Afghanistan,2025,500-1499 m,18119044.23624364,7741819.156684929
excluded_country,AFG,Afghanistan,2025,>=3500 m,33469.29101357058,14304.525172225247
excluded_country,ETH,Ethiopia,2015,100-499 m,3555584.4453687454,1504196.7173136375
excluded_country,ETH,Ethiopia,2015,1500-2499 m,66710575.71565116,28692116.765529662
excluded_country,ETH,Ethiopia,2015,2500-3499 m,14622559.702379381,6247676.963037269
excluded_country,ETH,Ethiopia,2015,500-1499 m,17391741.948692966,7674405.302978651
excluded_country,ETH,Ethiopia,2015,<100 m,57839.863926992904,26320.220029740383
excluded_country,ETH,Ethiopia,2015,>=3500 m,138669.29656908973,56389.21748521223
excluded_country,ETH,Ethiopia,2025,100-499 m,4723673.915222487,1798597.1502494838
excluded_country,ETH,Ethiopia,2025,1500-2499 m,87293090.83504756,33882591.76476711
excluded_country,ETH,Ethiopia,2025,2500-3499 m,19258601.611750375,7413467.051373108
excluded_country,ETH,Ethiopia,2025,500-1499 m,22240828.42060583,8871838.842056898
excluded_country,ETH,Ethiopia,2025,<100 m,68012.91356897535,28043.053316135552
excluded_country,ETH,Ethiopia,2025,>=3500 m,178009.4185788663,64643.89915546904
excluded_country,KEN,Kenya,2015,100-499 m,3588821.4207343655,1855977.9861567833
excluded_country,KEN,Kenya,2015,1500-2499 m,24268314.789889503,9678325.06264438
excluded_country,KEN,Kenya,2015,2500-3499 m,1025098.4807233152,457336.10349529167
excluded_country,KEN,Kenya,2015,500-1499 m,14550475.652305106,6361108.261555195
excluded_country,KEN,Kenya,2015,<100 m,3149358.1931719617,1322356.1367105048
excluded_country,KEN,Kenya,2015,>=3500 m,242.8704240350717,99.94672841968102
excluded_country,KEN,Kenya,2025,100-499 m,4384683.938502007,2007836.5549010506
excluded_country,KEN,Kenya,2025,1500-2499 m,29653467.870463707,10174129.989850499
excluded_country,KEN,Kenya,2025,2500-3499 m,1252662.4275017863,484481.51454828406
excluded_country,KEN,Kenya,2025,500-1499 m,17841122.187486455,6756040.919369375
excluded_country,KEN,Kenya,2025,<100 m,3856515.7812254988,1402321.2797755185
excluded_country,KEN,Kenya,2025,>=3500 m,274.44803057958615,96.74334638711994
excluded_country,MEX,Mexico,2015,100-499 m,12216476.035045844,3563080.761081177
excluded_country,MEX,Mexico,2015,1500-2499 m,58288435.222621895,16053398.325386731
excluded_country,MEX,Mexico,2015,2500-3499 m,6004167.564606719,1740742.9552127523
excluded_country,MEX,Mexico,2015,500-1499 m,19926175.924255457,5913668.555516418
excluded_country,MEX,Mexico,2015,<100 m,24030268.35598384,6669409.334472246
excluded_country,MEX,Mexico,2015,>=3500 m,996.6047450401984,300.7337583891416
excluded_country,MEX,Mexico,2025,100-499 m,13329239.908368237,3361442.4900594093
excluded_country,MEX,Mexico,2025,1500-2499 m,63580908.538570344,15088817.209135393
excluded_country,MEX,Mexico,2025,2500-3499 m,6558169.120922951,1648779.0170199913
excluded_country,MEX,Mexico,2025,500-1499 m,21734513.553750664,5582809.494404035
excluded_country,MEX,Mexico,2025,<100 m,26212695.40628171,6255332.939132554
excluded_country,MEX,Mexico,2025,>=3500 m,1086.7108250472859,284.90681781222435
excluded_country,YEM,Yemen,2015,100-499 m,3437845.1394855008,1448058.0481137661
excluded_country,YEM,Yemen,2015,1500-2499 m,13674923.965899628,5945620.514758029
excluded_country,YEM,Yemen,2015,2500-3499 m,1293935.9440077748,532002.5059812895
excluded_country,YEM,Yemen,2015,500-1499 m,8097980.5349160675,3297732.985884395
excluded_country,YEM,Yemen,2015,<100 m,4184536.979704171,1645206.4863159915
excluded_country,YEM,Yemen,2015,>=3500 m,47.75409241672605,18.94065088033676
excluded_country,YEM,Yemen,2025,100-499 m,4643235.904859158,1912562.5643103004
excluded_country,YEM,Yemen,2025,1500-2499 m,18360903.022908963,7832571.808308031
excluded_country,YEM,Yemen,2025,2500-3499 m,1716050.3427461202,694069.7697340385
excluded_country,YEM,Yemen,2025,500-1499 m,10812589.659560753,4316163.318937549
excluded_country,YEM,Yemen,2025,<100 m,5639488.469857685,2155166.1688428563
excluded_country,YEM,Yemen,2025,>=3500 m,49.85379719524644,19.41291618347168
full_sample,,,2015,100-499 m,2473002289.789188,672033700.4106543
full_sample,,,2015,1500-2499 m,387953295.1039886,129590120.11779837
full_sample,,,2015,2500-3499 m,56167239.28340188,17980925.27012995
full_sample,,,2015,500-1499 m,1242716345.748641,372707871.66807985
full_sample,,,2015,<100 m,3255289583.297298,786041117.2023543
full_sample,,,2015,>=3500 m,11068280.054239174,3146668.330207245
full_sample,,,2025,100-499 m,2728759506.4634366,686087721.9078779
full_sample,,,2025,1500-2499 m,455898978.93127704,141346840.09154046
full_sample,,,2025,2500-3499 m,66072049.507163286,18963290.67414125
full_sample,,,2025,500-1499 m,1420290283.547622,399062501.9886886
full_sample,,,2025,<100 m,3513598213.609451,764049297.0872445
full_sample,,,2025,>=3500 m,12096753.226757538,3083663.706089133
