elevation_group,settlement_class,population_2015_static2025,population_2025_static2025,growth_static2025_pct,growth_dynamic_pct,difference_pp
<100 m,Low-density rural,443549060.98496056,477621690.95293105,7.6818176307954786,-3.1757987477237339,-10.857616378519213
<100 m,Rural cluster,85732494.210511878,93386928.222656682,8.9282763578166993,3.7398619742906098,-5.188414383526089
<100 m,Peri-urban,670246378.6795845,725376542.49548447,8.2253579533706507,6.3579093672990474,-1.8674485860716032
<100 m,Semi-dense urban,83886397.086374313,90377370.231116906,7.7378137221212517,10.185308803668203,2.4474950815469532
<100 m,Dense urban,303966979.92735285,329455828.41210157,8.385400444101025,5.6671237182812622,-2.7182767258197629
<100 m,Urban centre,1665612847.0667119,1794846736.5257514,7.7589392809158193,11.440873075711016,3.6819337947951967
100-499 m,Low-density rural,693980652.74233949,758285940.4715575,9.2661499243687437,-2.0755404783232212,-11.341690402691963
100-499 m,Rural cluster,157275720.04897866,176854603.2877641,12.448764013090011,5.8730676334584198,-6.5756963796315917
100-499 m,Peri-urban,510064806.11583871,563886902.82006001,10.552011442247592,22.856566295936652,12.30455485368906
100-499 m,Semi-dense urban,77187993.423200592,85219450.152017772,10.405059611775249,30.941644800274972,20.536585188499721
100-499 m,Dense urban,236721005.92654112,261204087.46353617,10.34258934527872,12.431015144809638,2.088425799530917
100-499 m,Urban centre,797509213.48727942,883015374.31104696,10.72165178504441,13.722975939591814,3.0013241545474045
500-1499 m,Low-density rural,394904317.93069541,452536823.51256168,14.594042902306429,3.0745698151899612,-11.519473087116468
500-1499 m,Rural cluster,78484478.204743862,91208812.248064086,16.212548435534,11.655570027563815,-4.5569784079701829
500-1499 m,Peri-urban,220057183.68083552,254611295.83411729,15.702333173271022,32.730747542176232,17.02841436890521
500-1499 m,Semi-dense urban,28760537.91542685,33262792.702448983,15.654278790826002,36.153266380412369,20.498987589586367
500-1499 m,Dense urban,110426217.71107727,125488800.62610844,13.640404631481063,15.114720130278281,1.4743154987972158
500-1499 m,Urban centre,409972123.66436911,463047735.51606333,12.94615140515258,15.807223818183571,2.8610724130309908
1500-2499 m,Low-density rural,108266222.34269328,127603905.5665947,17.8612339153131,-0.67951253570591719,-18.540746451019015
1500-2499 m,Rural cluster,19030523.381205492,22619661.673690919,18.859903222788152,13.049948426064804,-5.809954796723348
1500-2499 m,Peri-urban,83947042.53149958,101853483.82040048,21.330639828296317,44.348564096036021,23.017924267739705
1500-2499 m,Semi-dense urban,11639370.557832023,14153355.449735878,21.598976331346528,54.585923873298135,32.986947541951608
1500-2499 m,Dense urban,34279539.915141135,39820197.459766477,16.163161927905733,21.355712989929792,5.1925510620240587
1500-2499 m,Urban centre,130770663.51842789,149825693.18782789,14.57133362844397,17.049100559115494,2.4777669306715246
2500-3499 m,Low-density rural,17492813.538180079,20701170.080415409,18.340997777359956,-2.4584788170660277,-20.799476594425983
2500-3499 m,Rural cluster,2881025.0149474433,3415311.4071736857,18.545010524179329,11.417970367855604,-7.1270401563237247
2500-3499 m,Peri-urban,9458726.8733487129,11701885.34603407,23.715226189750449,83.662170013904301,59.946943824153855
2500-3499 m,Semi-dense urban,1012373.0429746244,1229552.1148995997,21.452474799886449,56.525783975496111,35.073309175609666
2500-3499 m,Dense urban,4725668.4568410311,5437144.0962532135,15.055555545421878,22.63991476620831,7.5843592207864354
2500-3499 m,Urban centre,20594500.528475922,23584658.50360452,14.519206090937359,16.590879117421665,2.0716730264843051
">=3,500 m",Low-density rural,4354097.0635296935,4810843.1542735444,10.490030058576256,7.225227638940483,-3.2648024196357728
">=3,500 m",Rural cluster,1221666.4379145771,1304417.4921946377,6.7736209911208833,6.7293360420612185,-0.044284949059664798
">=3,500 m",Peri-urban,757835.35468152293,813643.30833106185,7.3641264299409688,10.437326427223256,3.0731999972822877
">=3,500 m",Semi-dense urban,271269.39137855073,279843.46561499941,3.160723070478578,66.074788092714954,62.914065022236379
">=3,500 m",Dense urban,1271768.941425761,1336206.0353885868,5.0667296443476895,0.032359794030380397,-5.0343698503173089
">=3,500 m",Urban centre,3188748.9220830686,3548622.3471834026,11.285724711911298,12.592046350832309,1.3063216389210108
