settlement_class,check_id,check_name,comparison,elevation_definition,geography_filter,time_window,year_start,year_end,population_start,population_end,absolute_change,percent_change_pct,share_under_15_start_pct,share_under_15_end_pct,share_65plus_start_pct,share_65plus_end_pct,dependency_ratio_start,dependency_ratio_end,male_share_start_pct,male_share_end_pct,notes
,A1,Primary comparison,Lowland reference,<500 m,global,2015-2025,2015,2025,5728291873.0864859,6242357720.0728874,514065846.98640162,8.974155967883938,,23.230597860998429,,11.123547729788942,,52.332543920650323,,50.324769453718147,Age-structure metrics are available for 2025 only in Dataset S1.
,A2,Primary comparison,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,444120534.38739049,521971028.43844032,77850494.051049829,17.529136354488763,,30.712457594682043,,6.3791003980062806,,58.961177242916406,,49.81007725131218,Age-structure metrics are available for 2025 only in Dataset S1.
,B1,Alternative highland threshold,>=1500 m,>=1500 m,global,2015-2025,2015,2025,455188814.44162971,534067781.66519785,78878967.223568201,17.328845683593375,,30.594205470009214,,6.405025821576972,,58.728221972702563,,49.831651845190578,Age-structure metrics are available for 2025 only in Dataset S1.
,B2,Alternative highland threshold,>=2500 m,>=2500 m,global,2015-2025,2015,2025,67235519.337641045,78168802.733920828,10933283.396279782,16.26117192815213,,28.204288167590491,,7.0681059437454232,,54.493586819828998,,49.468170355447931,Age-structure metrics are available for 2025 only in Dataset S1.
,B3,Alternative highland threshold,">=3,500 m",">=3,500 m",global,2015-2025,2015,2025,11068280.054239174,12096753.226757538,1028473.1725183632,9.2920776080693397,,25.491664153883796,,7.5236995475122148,,49.28796441354131,,50.762788637441837,Age-structure metrics are available for 2025 only in Dataset S1.
Low-density rural,D_lowland_low_density_rural,Settlement-class sensitivity,Lowland reference,<500 m,global,2015-2025,2015,2025,1137529713.7273002,1235907631.4244883,98377917.697188377,8.6483822365252525,,24.994853098730644,,,,,,50.417704659117234,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Low-density rural,D_highland_low_density_rural,Settlement-class sensitivity,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,125759035.88087337,148305075.64701012,22546039.766136751,17.927968044772332,,33.97634811638779,,,,,,49.953450685386613,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Rural cluster,D_lowland_rural_cluster,Settlement-class sensitivity,Lowland reference,<500 m,global,2015-2025,2015,2025,243008214.25949055,270241531.5104208,27233317.25093025,11.206747613004472,,25.590717323995264,,,,,,50.303639590730349,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Rural cluster,D_highland_rural_cluster,Settlement-class sensitivity,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,21911548.396152936,26034973.080864605,4123424.6847116686,18.818499770813222,,31.546694569757751,,,,,,49.990202004792799,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Peri-urban,D_lowland_peri_urban,Settlement-class sensitivity,Lowland reference,<500 m,global,2015-2025,2015,2025,1180311184.7954233,1289263445.3155446,108952260.52012134,9.2308081058306204,,23.702517703014109,,,,,,50.397335094148879,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Peri-urban,D_highland_peri_urban,Settlement-class sensitivity,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,93405769.404848278,113555369.16643454,20149599.761586249,21.572114752625087,,34.463695725938784,,,,,,49.710545949081883,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Semi-dense urban,D_lowland_semi_dense_urban,Settlement-class sensitivity,Lowland reference,<500 m,global,2015-2025,2015,2025,161074390.50957489,175596820.38313466,14522429.873559771,9.0159769207362004,,24.06459740523746,,,,,,50.313820527860408,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Semi-dense urban,D_highland_semi_dense_urban,Settlement-class sensitivity,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,12651743.600806648,15382907.564635478,2731163.96382883,21.587253504368334,,34.765703737436063,,,,,,49.679389997544803,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Dense urban,D_lowland_dense_urban,Settlement-class sensitivity,Lowland reference,<500 m,global,2015-2025,2015,2025,540687985.853894,590659915.87563777,49971930.021743774,9.2422860002750848,,24.043593391213765,,,,,,50.205208353683147,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Dense urban,D_highland_dense_urban,Settlement-class sensitivity,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,39005208.371982165,45257341.556019694,6252133.1840375289,16.028970091410919,,29.860884747251362,,,,,,50.071430516943806,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Urban centre,D_lowland_urban_centre,Settlement-class sensitivity,Lowland reference,<500 m,global,2015-2025,2015,2025,2463122060.5539913,2677862110.8367982,214740050.28280687,8.718205797503547,,21.713921994062865,,,,,,50.276162453284144,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
Urban centre,D_highland_urban_centre,Settlement-class sensitivity,Primary inhabited highlands,"1,500-3,500 m",global,2015-2025,2015,2025,151365164.04690382,173410351.69143242,22045187.644528601,14.564241239614031,,25.202541548983209,,,,,,49.668978169555508,Settlement-specific age and sex metrics are available for 2025 only in Dataset S1.
