elevation_group,age_group,age_group_population_2015,age_group_population_2025,age_group_absolute_change_2015_2025,elevation_group_population_2015_total,contribution_to_total_growth_pp,total_growth_pct,sum_contribution_pp,sum_minus_total_growth_pp
<100 m,0-14,786041117.20235431,764049297.08724451,-21991820.115109801,3255289583.297298,-0.67557185167023404,7.935043064584443,7.93504306460229,1.7847057165454316e-11
<100 m,15-64,2178618262.6932611,2345135031.955626,166516769.26236486,3255289583.297298,5.115267474720306,7.935043064584443,7.93504306460229,1.7847057165454316e-11
<100 m,65+,290630203.4016825,404413884.56658047,113783681.16489798,3255289583.297298,3.4953474415522185,7.935043064584443,7.93504306460229,1.7847057165454316e-11
100-499 m,0-14,672033700.41065431,686087721.90787792,14054021.497223616,2473002289.7891879,0.56829795731493871,10.341972497568372,10.341972497568989,6.1461946643248676e-13
100-499 m,15-64,1588968457.8456843,1752714028.6656671,163745570.81998277,2473002289.7891879,6.6213271009118762,10.341972497568372,10.341972497568989,6.1461946643248676e-13
100-499 m,65+,212000131.5328491,289957755.88989186,77957624.35704276,2473002289.7891879,3.1523474393421727,10.341972497568372,10.341972497568989,6.1461946643248676e-13
500-1499 m,0-14,372707871.66807985,399062501.98868859,26354630.320608735,1242716345.748641,2.1207277437661847,14.289176963293308,14.289176963549664,2.5635671363488655e-10
500-1499 m,15-64,789182173.16742861,904732129.19256282,115549956.02513433,1242716345.748641,9.2981762427470418,14.289176963293308,14.289176963549664,2.5635671363488655e-10
500-1499 m,65+,80826300.913132489,116495652.36637044,35669351.453237951,1242716345.748641,2.8702729770364379,14.289176963293308,14.289176963549664,2.5635671363488655e-10
1500-2499 m,0-14,129590120.11779836,141346840.09154046,11756719.973742085,387953295.10398859,3.0304472528299482,17.513882388620004,17.513882388620004,0
1500-2499 m,15-64,238935755.27161229,285870013.31154823,46934258.039935946,387953295.10398859,12.09791452534396,17.513882388620004,17.513882388620004,0
1500-2499 m,65+,19427419.714577939,28682125.528188359,9254705.8136104196,387953295.10398859,2.3855206104460978,17.513882388620004,17.513882388620004,0
2500-3499 m,0-14,17980925.270129949,18963290.674141251,982365.40401130158,56167239.283401877,1.7490006924759125,17.634497173316483,17.634497173316475,-7.1054273576010019e-15
2500-3499 m,15-64,35040508.995762527,42493828.408616371,7453319.4128538445,56167239.283401877,13.269869603607869,17.634497173316483,17.634497173316475,-7.1054273576010019e-15
2500-3499 m,65+,3145805.0175094069,4614930.4244056661,1469125.4068962592,56167239.283401877,2.6156268772326934,17.634497173316483,17.634497173316475,-7.1054273576010019e-15
">=3,500 m",0-14,3146668.330207245,3083663.7060891329,-63004.624118112028,11068280.054239174,-0.56923590485028541,9.2920776080693397,9.2920776080693486,8.8817841970012523e-15
">=3,500 m",15-64,7253774.219617107,8102966.1528831795,849191.93326607253,11068280.054239174,7.6723025538266016,9.2920776080693397,9.2920776080693486,8.8817841970012523e-15
">=3,500 m",65+,667837.50441482256,910123.3677852262,242285.86337040365,11068280.054239174,2.1890109590930313,9.2920776080693397,9.2920776080693486,8.8817841970012523e-15
