elevation_group,settlement_class,population_2015_static2025,population_2025_static2025,age_0_14_population_2025,age_0_14_share_2025_pct,male_share_2025_pct,growth_static2025_pct,youth_share,male_share,growth_static2025,population_2025_change_static2025,population_2025_millions
<100 m,Low-density rural,443549060.98496056,477621690.95293105,110026603.6053769,23.036349832826136,50.437190502158167,7.6818176307954786,0.23036349832826131,0.50437190502158169,0.076818176307954705,477621690.95293105,477.62169095293103
<100 m,Rural cluster,85732494.210511878,93386928.222656682,21902774.480675172,23.453790479598752,50.229250956511628,8.9282763578166993,0.23453790479598749,0.50229250956511629,0.089282763578166904,93386928.222656682,93.386928222656678
<100 m,Peri-urban,670246378.6795845,725376542.49548447,166952013.82499573,23.015910226520045,50.346448179338822,8.2253579533706507,0.23015910226520039,0.50346448179338821,0.082253579533706503,725376542.49548447,725.3765424954845
<100 m,Semi-dense urban,83886397.086374313,90377370.231116906,20849735.849537712,23.069642097595747,50.211076489428592,7.7378137221212517,0.23069642097595741,0.50211076489428597,0.077378137221212506,90377370.231116906,90.377370231116899
<100 m,Dense urban,303966979.92735285,329455828.41210157,76026561.51942791,23.076405078598182,50.244716539487399,8.385400444101025,0.23076405078598181,0.502447165394874,0.083854004441010196,329455828.41210157,329.45582841210154
<100 m,Urban centre,1665612847.0667119,1794846736.5257514,367640060.11164403,20.483089315095366,50.298586270328947,7.7589392809158193,0.2048308931509536,0.50298586270328949,0.077589392809158095,1794846736.5257514,1794.8467365257511
100-499 m,Low-density rural,693980652.74233949,758285940.4715575,198886693.30517533,26.228455875298582,50.405431107932749,9.2661499243687437,0.26228455875298579,0.50405431107932752,0.092661499243687398,758285940.4715575,758.28594047155752
100-499 m,Rural cluster,157275720.04897866,176854603.2877641,47253971.940192208,26.719107708666311,50.342920027401043,12.448764013090011,0.26719107708666312,0.50342920027401039,0.12448764013090011,176854603.2877641,176.85460328776409
100-499 m,Peri-urban,510064806.11583871,563886902.82006001,138635882.53941083,24.585760344153702,50.462795338283989,10.552011442247592,0.24585760344153701,0.50462795338283994,0.1055201144224759,563886902.82006001,563.88690282005996
100-499 m,Semi-dense urban,77187993.423200592,85219450.152017772,21406932.032061599,25.119772533001655,50.42278316472121,10.405059611775249,0.2511977253300165,0.50422783164721208,0.1040505961177524,85219450.152017772,85.219450152017771
100-499 m,Dense urban,236721005.92654112,261204087.46353617,65989306.978595711,25.263504725134805,50.155376813106628,10.34258934527872,0.252635047251348,0.50155376813106622,0.1034258934527872,261204087.46353617,261.20408746353615
100-499 m,Urban centre,797509213.48727942,883015374.31104696,213828829.7440235,24.215753877542472,50.230583048877122,10.72165178504441,0.2421575387754247,0.5023058304887712,0.1072165178504441,883015374.31104696,883.01537431104691
500-1499 m,Low-density rural,394904317.93069541,452536823.51256168,138664395.52703762,30.641571762212301,50.290845115657419,14.594042902306429,0.306415717622123,0.50290845115657423,0.1459404290230642,452536823.51256168,452.53682351256168
500-1499 m,Rural cluster,78484478.204743862,91208812.248064086,26855126.768710598,29.443565930528383,50.344764023329866,16.212548435534,0.29443565930528381,0.50344764023329869,0.16212548435533999,91208812.248064086,91.208812248064078
500-1499 m,Peri-urban,220057183.68083552,254611295.83411729,74007005.596374109,29.066662323022257,50.173558357787186,15.702333173271022,0.29066662323022258,0.50173558357787185,0.15702333173271019,254611295.83411729,254.6112958341173
500-1499 m,Semi-dense urban,28760537.91542685,33262792.702448983,9872814.2658925671,29.681254830914057,50.101340612754377,15.654278790826002,0.2968125483091405,0.50101340612754375,0.15654278790826001,33262792.702448983,33.262792702448984
500-1499 m,Dense urban,110426217.71107727,125488800.62610844,34566607.137098484,27.545571369423676,50.257921011671563,13.640404631481063,0.27545571369423671,0.50257921011671558,0.1364040463148106,125488800.62610844,125.48880062610844
500-1499 m,Urban centre,409972123.66436911,463047735.51606333,115049678.44416416,24.846180991672952,50.100013259617967,12.94615140515258,0.2484618099167295,0.5010001325961797,0.12946151405152581,463047735.51606333,463.04773551606331
1500-2499 m,Low-density rural,108266222.34269328,127603905.5665947,43382701.903984293,33.997942078147027,49.997959622566562,17.8612339153131,0.3399794207814702,0.49997959622566562,0.17861233915313099,127603905.5665947,127.6039055665947
1500-2499 m,Rural cluster,19030523.381205492,22619661.673690919,7155189.4498316329,31.632610394672177,49.999223556757201,18.859903222788152,0.31632610394672178,0.499992235567572,0.18859903222788149,22619661.673690919,22.619661673690917
1500-2499 m,Peri-urban,83947042.53149958,101853483.82040048,35142194.134109303,34.502692314458258,49.776997827963854,21.330639828296317,0.34502692314458261,0.49776997827963848,0.21330639828296311,101853483.82040048,101.85348382040048
1500-2499 m,Semi-dense urban,11639370.557832023,14153355.449735878,4939099.7747180369,34.897023481525061,49.706913851591629,21.598976331346528,0.34897023481525058,0.49706913851591628,0.2159897633134652,14153355.449735878,14.153355449735878
