metric,value,unit,note,source_table
"population below 500 m, 2025",6242357720.0728874,people,6.24 billion; 76.2% of global population,data/dataset_s1_hypsographic_demography.csv
"population below 100 m, 2025",3513598213.6094508,people,3.51 billion,data/dataset_s1_hypsographic_demography.csv
"population 1500-3500 m, 2025",521971028.43844032,people,0.52 billion,data/dataset_s1_hypsographic_demography.csv
"youth share below 500 m, 2025",0.2323059786099842,share,23.2%,data/dataset_s1_hypsographic_demography.csv
"youth share 1500-3500 m, 2025",0.30712457594682041,share,30.7%,data/dataset_s1_hypsographic_demography.csv
"growth below 500 m, 2015-2025",0.089741559678839303,share,9.0%,data/dataset_s1_hypsographic_demography.csv
"growth 1500-3500 m, 2015-2025",0.17529136354488761,share,17.5%,data/dataset_s1_hypsographic_demography.csv
"population >=3500 m, 2025",12096753.226757538,people,12.1 million; 0.1% of global population,data/dataset_s1_hypsographic_demography.csv
strongest Figure 2 population cell,1794846736.5257514,people,<100 m / Urban centre,data/dataset_s1_hypsographic_demography.csv
strongest Figure 2 youth-share cell,0.34897023481525058,share,1500-2499 m / Semi-dense urban; 34.9%,data/dataset_s1_hypsographic_demography.csv
strongest Figure 2 growth cell,0.23715226189750449,share,2500-3499 m / Peri-urban; 23.7%,data/dataset_s1_hypsographic_demography.csv
