iso3,country_id,country_name,region,worldpop_country_name,country_name_dos_short,country_name_dos_long,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
ETH,76,Ethiopia,Africa,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,81333135.418030545,106551692.44679794,25218557.028767392,31.006498027096537,3613424.3092957381,4791686.8287914628,1178262.5194957247,32.607920317151176,-1.6014222900546429,38.756830480904519,38.121026453357061,20.413334580190085,32.393573523413373
MEX,149,Mexico,North America,Mexico,Mexico,United Mexican States,64292602.787228614,70139077.659493297,5846474.8722646832,9.093542054306214,36246744.391029686,39541935.314649947,3295190.9236202613,9.0909983199367073,0.0025437343695067002,23.863439304708272,24.320447020783607,13.437350703031459,7.5098751055207211
CHN,46,China,Asia,China,China,People�s Republic of China,65608030.469290346,66806109.505378202,1198079.0360878557,1.8261164487305404,1125344737.6365762,1145769955.3159051,20425217.679329157,1.8150187223717544,0.0110977263587861,17.806318165401724,15.410894064282388,12.79881561726507,1.5389485329434449
KEN,123,Kenya,Africa,Ilemi Triangle (Kenya),,,25293413.270612821,30906130.297965493,5612717.0273526721,22.190429450159712,6738179.6139063276,8241199.7197275059,1503020.1058211783,22.306026136780758,-0.1155966866210462,34.487046426192094,41.379385898310993,5.9210432407381157,7.2096100297991379
IRN,112,Iran,Asia,Iran,Iran,Islamic Republic of Iran,21670240.407177497,24288631.539928496,2618391.1327509992,12.082889176825883,16966852.932891306,19029332.940622069,2062480.0077307632,12.1559373201881,-0.073048143362216295,22.239855790084388,22.244021495275888,4.6532528084157878,3.3633584021111154
COL,52,Colombia,South America,Colombia,Colombia,Republic of Colombia,19431714.239016894,22092817.895883508,2661103.6568666101,13.694641780617513,16967336.88629109,19286193.337769259,2318856.4514781684,13.666590502789564,0.028051277827946901,17.797338348294524,23.247868078167159,4.2325755055750323,3.4182232101463761
YEM,319,Yemen,Asia,Yemen,Yemen,Republic of Yemen,14968859.909907402,20076953.365655087,5108093.4557476845,34.124799660706309,7622382.1191896722,10282724.374716844,2660342.2555271704,34.901717257517767,-0.77691759681145811,42.469798194721541,39.558861882507387,3.8463731264393162,6.5614143082998186
AFG,2,Afghanistan,Asia,Afghanistan,Afghanistan,Islamic Republic of Afghanistan,15254520.248110419,19419789.041759539,4165268.7936491198,27.305144481125669,4314303.1067120694,5684815.7102324581,1370512.6035203887,31.766720362975526,-4.461575881849857,42.726705485590394,42.723171627877441,3.7204725901851181,5.3503434299566264
ZAF,320,South Africa,Africa,South Africa,South Africa,Republic of South Africa,11980755.634624179,13756307.539837282,1775551.9052131008,14.820032720488729,16794426.666770644,19279624.225620113,2485197.5588494688,14.797751707515364,0.022281012973365901,23.087340620188822,24.136604338118257,2.6354542283680904,2.2807201506631372
IND,109,India,Asia,India,India,Republic of India,12645692.607290829,13560865.460426722,915172.85313589324,7.2370322571992114,1114997450.3522971,1233706082.8942046,118708632.54190756,10.646538474540916,-3.4095062173417041,25.40769415697957,24.818531395984937,2.5980111388550085,1.1755517601927812
PAK,180,Pakistan,Asia,Pakistan,Pakistan,Islamic Republic of Pakistan,11321071.733625431,13243946.948534925,1922875.2149094939,16.984922100601491,177833763.15928638,208654704.42183295,30820941.262546569,17.331321519041428,-0.34639941843993682,41.910405265124034,35.729563802259179,2.5372954104668048,2.4699589107919899
COD,49,Congo (Kinshasa),Africa,Congo (Kinshasa),Congo (Kinshasa),Democratic Republic of the Congo,8913078.3286564033,12415928.309474522,3502849.9808181189,39.300114412280209,29923119.81517709,41706234.937533498,11783115.122356407,39.377963244260307,-0.077848831980098496,44.940880263974094,46.063947931890056,2.3786623458046621,4.4994576123321099
RWA,211,Rwanda,Africa,Rwanda,Rwanda,Republic of Rwanda,7807761.2079123529,9779778.3632237036,1972017.1553113528,25.257139694704271,0,0,0,0,25.257139694704271,37.379576339809887,0,1.8736247474273573,2.5330823899694428
TZA,252,Tanzania,Africa,Tanzania,Tanzania,United Republic of Tanzania,7467808.1557011437,9708705.287516268,2240897.1318151243,30.00742768283834,12815338.273992715,17389462.730280861,4574124.456288144,35.692576805177382,-5.6851491223390411,43.285016574790099,35.628553070702509,1.8600084599640352,2.8784623130916462
USA,256,United States,North America,United States,United States,United States of America,7850057.9743381161,8366529.5585105503,516471.58417243417,6.5792072601346732,295357556.34091204,314788264.39634699,19430708.055434942,6.5787069395330926,0.00050032060158049999,17.506296233308845,17.137199127740509,1.6028724014703193,0.66341465197865279
BDI,18,Burundi,Africa,Burundi,Burundi,Republic of Burundi,6405531.8340503052,7915595.5760886995,1510063.7420383943,23.574369485001224,0,0,0,0,23.574369485001224,44.375059127594177,0,1.5164817863109123,1.9396970570901984
GTM,97,Guatemala,North America,Guatemala,Guatemala,Republic of Guatemala,6582885.8510360867,7711747.5166114569,1128861.6655753702,17.148431419294589,3930197.834953405,4604851.2390201297,674653.4040667247,17.165889158725342,-0.017457739430753301,31.627225063543889,32.095837571197826,1.4774282664082683,1.4500378955015081
PER,183,Peru,South America,Peru,Peru,Republic of Peru,6406068.3664201964,7277444.2363814041,871375.86996120773,13.602350460835702,18372227.957713556,20881146.427660581,2508918.4699470252,13.656038210072715,-0.053687749237013797,24.768741470201661,23.097302906905075,1.3942237863570783,1.1192939500034642
ECU,69,Ecuador,South America,Ecuador,Ecuador,Republic of Ecuador,6116068.0221720953,6897770.5111158974,781702.48894380219,12.781128105671131,8965677.4863460083,10111745.603911346,1146068.1175653376,12.782838991372437,-0.0017108857013035,22.507366753426069,24.817395134226057,1.3214853191664069,1.0041072936945099
AGO,3,Angola,Africa,Angola,Angola,Republic of Angola,4792861.0141123096,6660610.8015231332,1867749.7874108236,38.96941267254234,11288992.251551732,15718197.61046591,4429205.3589141779,39.234727602061731,-0.26531492951939128,47.565709008278539,41.190400748888642,1.2760499028939241,2.399149562475559
UGA,253,Uganda,Africa,Uganda,Uganda,Republic of Uganda,3345424.6984974518,4588904.7754496727,1243480.0769522209,37.16957304436449,0,0,0,0,37.16957304436449,42.757643260696533,0,0.87914932542867652,1.5972667766717297
PNG,186,Papua New Guinea,Oceania,Papua New Guinea,Papua New Guinea,Independent State of Papua New Guinea,3182881.4962288467,4211689.9991014358,1028808.502872589,32.323179612296144,4425740.1200628532,5148779.3869578512,723039.26689499803,16.337137908692426,15.986041703603718,28.323795910901683,37.164732888145238,0.80688194739493091,1.3215182709026303
TUR,249,Turkey,Asia,Turkey,Turkey,Republic of Turkey,3578781.0246979725,3967042.8010372519,388261.77633927949,10.848995053337928,46285889.149994016,51300701.596917525,5014812.4469235092,10.834430404204856,0.0145646491330708,26.81489628461372,19.972715384867879,0.76001206674349231,0.49872744042533601
NPL,176,Nepal,Asia,Nepal,Nepal,Nepal,3248231.8059257604,3472154.5441044946,223922.7381787342,6.893680979609619,15102533.046104649,16137930.278730707,1035397.2326260582,6.8557852478469838,0.037895731762635103,29.852289792426543,29.752727559484736,0.66520062511745137,0.28763174968664751
BOL,34,Bolivia,South America,Bolivia,Bolivia,Plurinational State of Bolivia,2885283.7049467433,3299058.7283620909,413775.0234153475,14.340878254223011,3989260.36859036,4561533.6465166714,572273.27792631183,14.345347885340701,-0.0044696311176899003,29.195709202289223,31.236806621608594,0.63203866663476549,0.53149954725273518
IDN,107,Indonesia,Asia,Indonesia,Indonesia,Republic of Indonesia,2293967.3961298866,2504829.450478463,210862.05434857635,9.1920249042910598,225701518.07482585,246756809.48948079,21055291.41465494,9.3288213540834803,-0.1367964497924205,21.313067937792361,24.449728725839908,0.47987901895092921,0.27085512676426332
SAU,212,Saudi Arabia,Asia,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,2218832.6601180718,2344715.1531383083,125882.49302023648,5.6733657874649204,13411608.632327557,15546182.078104978,2134573.4457774218,15.915864414893615,-10.242498627428697,25.065465244981574,23.279526428652577,0.44920407942044183,0.1616977445739651
LSO,138,Lesotho,Africa,Lesotho,Lesotho,Kingdom of Lesotho,2061325.6753308068,2315760.7749080728,254435.099577266,12.343275137075738,0,0,0,0,12.343275137075738,34.304321419463548,0,0.44365695579619441,0.32682528566924979
MDG,147,Madagascar,Africa,Madagascar,Madagascar,Republic of Madagascar,1694862.1108537954,2156085.2598077268,461223.14895393141,27.213019041507035,12553091.507099682,16365971.0885695,3812879.5814698171,30.374028416134447,-3.1610093746274117,39.096725878744834,39.096726087029367,0.41306607883161639,0.59244729860222578
ERI,71,Eritrea,Africa,Eritrea,Eritrea,State of Eritrea,1429917.5055277846,1645256.2982358912,215338.79270810657,15.059525593305098,546547.13461157563,634245.4101216381,87698.275510062464,16.045876001598391,-0.98635040829329235,37.858216830664396,37.858318656879732,0.31520069287330721,0.27660555701406309
CMR,48,Cameroon,Africa,Cameroon,Cameroon,Republic of Cameroon,1163784.7119976815,1392144.0101753706,228359.29817768908,19.622125623707628,10022048.25372426,13455942.370345036,3433894.1166207753,34.263396360566489,-14.641270736858861,43.80256249592432,41.54949053475287,0.26670905746247869,0.29333057029534609
KGZ,125,Kyrgyzstan,Asia,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic,1061500.6480889481,1296427.1902378127,234926.5421488646,22.131549572938084,10012.890127803676,12061.789505941571,2048.8993781378977,20.462617206280314,1.6689323666577709,34.527260384451061,36.048559654210173,0.24837148416383981,0.3017662829407522
ZWE,322,Zimbabwe,Africa,Zimbabwe,Zimbabwe,Republic of Zimbabwe,973885.35372400482,1143476.0749735616,169590.72124955687,17.413828085725395,756135.76132911281,887007.5596850788,130871.79835596601,17.307976298584723,0.1058517871406721,36.910451964692086,44.488158668061153,0.2190688779019887,0.21784154784984289
MAR,144,Morocco,Africa,Morocco,Morocco,Kingdom of Morocco,1019939.3377692732,1129857.9115402144,109918.57377094137,10.776971698272384,23879137.809416268,26623148.804477237,2744010.9950609691,11.491248205699128,-0.71427650742674231,27.932256584524183,24.724443859265438,0.2164598895307206,0.14119187695695681
ARM,9,Armenia,Asia,Armenia,Armenia,Republic of Armenia,667118.18687064236,704995.5278953613,37877.341024718946,5.6777557215755472,6369.6632017948114,6166.1965172771133,-203.46668451769801,-3.194308365634877,8.8720640872104237,19.123282821282501,19.295234424826159,0.1350641107427874,0.048653950737783502
MNG,156,Mongolia,Asia,Mongolia,Mongolia,Mongolia,607319.97850521561,688852.10816687613,81532.129661660525,13.424904917887586,0,0,0,0,13.424904917887586,31.838863415560052,0,0.1319713299467381,0.10472911014308579
TJK,242,Tajikistan,Asia,Tajikistan,Tajikistan,Republic of Tajikistan,497924.33544409816,628904.481513498,130980.14606939984,26.305230884644111,3332521.7420012648,4165775.8412507442,833254.09924947936,25.003710815974717,1.3015200686693935,34.426411389967186,36.918998825787455,0.1204864728594164,0.16824574804048209
NAM,166,Namibia,Africa,Namibia,Namibia,Republic of Namibia,478016.76762087358,625019.41762187902,147002.65000100544,30.752613706972877,195926.26198337949,256116.70415323289,60190.442169853399,30.720966939572079,0.031646767400797401,28.165731937921539,26.494922742906148,0.1197421664362722,0.18882686846484181
ZMB,321,Zambia,Africa,Zambia,Zambia,Republic of Zambia,418194.73620619997,564393.21243858826,146198.47623238829,34.959425256921925,144550.95291299908,193569.40177794095,49018.448864941864,33.910844499547927,1.0485807573739976,44.446591329582432,42.624844564234785,0.108127306246682,0.1877938965121014
MMR,154,Burma,Asia,Burma,Burma,Union of Burma,491327.3389615402,527029.24565633887,35701.906694798672,7.2664197295142428,44025604.696526229,47306552.694799542,3280947.998273313,7.4523632801622623,-0.1859435506480196,31.513612748075857,23.567475812362641,0.10096906091378879,0.045859576268568597
HND,103,Honduras,North America,Honduras,Honduras,Republic of Honduras,379663.53622087103,449195.48221242538,69531.945991554356,18.314096392734388,4222284.0929132206,5047703.5295285918,825419.43661537115,19.549121244607253,-1.2350248518728648,32.140785042793112,30.308542484089429,0.086057550656837303,0.089314713848776997
VEN,260,Venezuela,South America,Venezuela,Venezuela,Bolivarian Republic of Venezuela,470041.62455526082,439987.25918542349,-30054.365369837265,-6.3939795541030646,22700896.5243457,21243549.965691369,-1457346.5586543309,-6.4197753471603711,0.025795793057306501,24.979821913079224,26.03573413473957,0.084293425346175899,-0.0386052339631002
BTN,38,Bhutan,Asia,Bhutan,Bhutan,Kingdom of Bhutan,380617.68205184699,410193.80601780856,29576.123965961568,7.7705596352018054,126257.54525244498,136002.73238142318,9745.1871289781993,7.7184988108973887,0.052060824304415797,20.509605841579507,19.963343253740071,0.078585550474892907,0.037990926488619597
MWI,163,Malawi,Africa,Malawi,Malawi,Republic of Malawi,269180.06571072654,349821.42946920975,80641.363758483203,29.958148477883267,1963398.0415300168,2559468.4876893265,596070.44615930994,30.359124005991688,-0.40097552810842169,40.151234698415585,42.20491011853791,0.067019319159486002,0.10358490943628849
SOM,223,Somalia,Africa,Somalia,Somalia,Federal Republic of Somalia,227540.7500432196,320033.46579208202,92492.715748862407,40.648857723855663,10596491.939209657,15071263.30011512,4474771.3609054647,42.22879974407094,-1.5799420202152774,46.48642766203109,46.570233174423294,0.061312495973102801,0.1188081294490064
ARG,8,Argentina,South America,Argentina,Argentina,Argentine Republic,258156.65510636987,273219.77497712849,15063.119870758615,5.8348756744435137,36158508.165071651,38266790.717614561,2108282.5525429174,5.8306679659407905,0.0042077085027232,26.473428263318148,20.933890891850542,0.052343858201193402,0.0193487787770249
