removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
ETH,Ethiopia,Africa,106551692.44679794,25218557.028767392,362787398.96935993,415419335.99164242,52631937.022282422,14.507653014356094,5724678448.7771893,6237566033.2440948,512887584.46690559,8.9592383058031864,5.5484147085529081,False
YEM,Yemen,Asia,20076953.365655087,5108093.4557476845,429151674.47748309,501894075.0727852,72742400.595302105,16.950277704000612,5720669490.9672956,6232074995.6981697,511405504.73087406,8.9396093505902172,8.0106683534103951,False
AFG,Afghanistan,Asia,19419789.041759539,4165268.7936491198,428866014.13928008,502551239.39668071,73685225.257400632,17.181409304555046,5723977569.9797726,6236672904.3626537,512695334.3828811,8.95697664980006,8.2244326547549864,False
COD,Congo (Kinshasa),Africa,12415928.309474522,3502849.9808181189,435207456.05873412,509555100.12896574,74347644.070231616,17.083265241714496,5698368753.2713079,6200651485.1353531,502282731.86404514,8.8145003177566501,8.2687649239578462,False
JPN,Japan,Asia,3856.5506679833056,-140.68893701304614,444116537.14778548,521967171.88777226,77850634.739986777,17.529325802628463,5603066809.1131582,6120986769.4510145,517919960.33785629,9.2435085638365155,8.285817238791946,False
KEN,Kenya,Africa,30906130.297965493,5612717.0273526721,418827121.11677766,491064898.1404748,72237777.023697138,17.247635929373292,5721553693.472579,6234116520.353159,512562826.88057995,8.9584552438149103,8.2891806855583816,False
RUS,Russia,Europe,227637.40288291103,2819.6596775644575,443895716.64418513,521743391.03555733,77847674.391372204,17.537379044766229,5589590589.9852896,6104308133.730011,514717543.74472141,9.2085016864549285,8.3288773583113009,False
UKR,Ukraine,Europe,45.354048709585378,-6.4363042116441136,444120482.59703749,521970983.08439153,77850500.487353981,17.529139847843908,5682718420.1323509,6204327330.043952,521608909.91160107,9.1788624976328279,8.3502773502110799,False
AGO,Angola,Africa,6660610.8015231332,1867749.7874108236,439327673.3732782,515310417.63691711,75982744.263638914,17.295232890799387,5717002880.8349333,6226639522.4624205,509636641.62748718,8.9144023931829448,8.3808304976164418,False
TZA,Tanzania,Africa,9708705.287516268,2240897.1318151243,436652726.23168933,512262323.15092403,75609596.919234633,17.315727665723067,5715476534.8124924,6224968257.3426056,509491722.53011322,8.9142474722246074,8.4014801934984593,False
UGA,Uganda,Africa,4588904.7754496727,1243480.0769522209,440775109.68889302,517382123.66299057,76607013.97409755,17.380068041538951,5728291873.0864849,6242357720.0728865,514065846.98640162,8.9741559678839415,8.4059120736550099,False
RWA,Rwanda,Africa,9779778.3632237036,1972017.1553113528,436312773.17947817,512191250.07521653,75878476.895738363,17.390844724256009,5728291873.0864849,6242357720.0728865,514065846.98640162,8.9741559678839415,8.4166887563720678,False
ITA,Italy,Europe,81632.709412565731,-1859.2796151620423,444037042.3983627,521889395.72902769,77852353.330664933,17.532851068046838,5671981925.0866632,6187337141.4300547,515355216.34339142,9.0859812874935635,8.4468697805532749,False
PNG,Papua New Guinea,Oceania,4211689.9991014358,1028808.502872589,440937652.89116162,517759338.4393388,76821685.548177183,17.422346457479641,5723866132.9664221,6237208940.6859283,513342807.71950626,8.9684628500118997,8.4538836074677413,False
BRA,Brazil,South America,66945.191269071787,2027.6136614395509,444055616.80978286,521904083.24717122,77848466.437388301,17.531242369294414,5614313574.6558228,6123733257.5212889,509419682.86546612,9.0735880013024648,8.4576543679919514,False
BDI,Burundi,Africa,7915595.5760886995,1510063.7420383943,437715002.5533402,514055432.86235154,76340430.30901134,17.440670268026388,5728291873.0864849,6242357720.0728865,514065846.98640162,8.9741559678839415,8.4665143001424461,False
THA,Thailand,Asia,2602.1729042083693,44.005442405585654,444117976.21992868,521968426.26553607,77850450.045607388,17.529227415702621,5658929034.9999361,6171757962.0393744,512828927.03943825,9.0622964852119594,8.4669309304906619,False
DEU,Germany,Europe,1288.9217453065328,55.6335635669368,444119301.09920877,521969739.51669496,77850438.417486191,17.529172504956211,5654103117.3811274,6165718644.9102573,511615527.52912998,9.0485708680548527,8.4806016369013584,False
FRA,France,Europe,51811.823374308493,1407.2844270751666,444070129.84844327,521919216.61506593,77849086.766622663,17.530809107379454,5666322754.2479935,6178697446.9241714,512374692.67617798,9.0424551318058093,8.488353975573645,False
KOR,"Korea, South",Asia,3.6615113692957864,0.064662674471337597,444120530.79054183,521971024.7769289,77850493.986387074,17.529136481894209,5677652302.9758501,6190796385.5539293,513144082.57807922,9.0379624393188536,8.4911740425753557,False
POL,Poland,Europe,68.601346911503853,0.074999336087799406,444120465.86104292,521970959.83709335,77850493.976050436,17.529139042290481,5690607369.7624836,6204574273.8978138,513966904.1353302,9.0318461763209363,8.4972928659695466,False
