removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
ETH,Ethiopia,Africa,106551692.44679794,25218557.028767392,362787398.96935993,415419335.99164236,52631937.02228242,14.507653014356094,5724678448.777189,6237566033.244095,512887584.4669056,8.959238305803186,5.548414708552908,False
YEM,Yemen,Asia,20076953.365655087,5108093.455747684,429151674.4774831,501894075.0727852,72742400.5953021,16.950277704000612,5720669490.967296,6232074995.69817,511405504.73087406,8.939609350590217,8.010668353410395,False
AFG,Afghanistan,Asia,19419789.04175954,4165268.7936491203,428866014.1392801,502551239.3966807,73685225.25740063,17.181409304555046,5723977569.979773,6236672904.362654,512695334.38288116,8.95697664980006,8.224432654754986,False
COD,Congo (Kinshasa),Africa,12415928.309474522,3502849.980818119,435207456.0587341,509555100.12896574,74347644.07023162,17.083265241714496,5698368753.271308,6200651485.135353,502282731.86404514,8.81450031775665,8.268764923957846,False
JPN,Japan,Asia,3856.5506679833056,-140.68893701304614,444116537.1477855,521967171.88777226,77850634.73998678,17.529325802628463,5603066809.113158,6120986769.4510145,517919960.3378563,9.243508563836517,8.285817238791946,False
KEN,Kenya,Africa,30906130.297965493,5612717.027352672,418827121.11677766,491064898.1404748,72237777.02369714,17.247635929373292,5721553693.472579,6234116520.353159,512562826.88057995,8.95845524381491,8.289180685558382,False
RUS,Russia,Europe,227637.40288291103,2819.6596775644575,443895716.6441851,521743391.0355573,77847674.3913722,17.53737904476623,5589590589.98529,6104308133.730011,514717543.7447214,9.208501686454929,8.328877358311301,False
UKR,Ukraine,Europe,45.35404870958538,-6.436304211644114,444120482.59703755,521970983.08439153,77850500.48735398,17.529139847843908,5682718420.132351,6204327330.043952,521608909.91160107,9.178862497632828,8.35027735021108,False
AGO,Angola,Africa,6660610.801523133,1867749.7874108236,439327673.3732782,515310417.6369171,75982744.26363891,17.295232890799387,5717002880.834933,6226639522.46242,509636641.6274872,8.914402393182945,8.380830497616442,False
TZA,Tanzania,Africa,9708705.287516268,2240897.1318151243,436652726.23168933,512262323.15092397,75609596.91923463,17.315727665723067,5715476534.812492,6224968257.342606,509491722.5301132,8.914247472224607,8.40148019349846,False
UGA,Uganda,Africa,4588904.775449673,1243480.0769522209,440775109.688893,517382123.66299057,76607013.97409755,17.38006804153895,5728291873.086485,6242357720.072886,514065846.98640156,8.974155967883942,8.40591207365501,False
RWA,Rwanda,Africa,9779778.363223705,1972017.1553113526,436312773.17947817,512191250.07521653,75878476.89573836,17.39084472425601,5728291873.086485,6242357720.072886,514065846.98640156,8.974155967883942,8.416688756372068,False
ITA,Italy,Europe,81632.70941256573,-1859.2796151620423,444037042.39836276,521889395.7290277,77852353.33066493,17.53285106804684,5671981925.086663,6187337141.430055,515355216.3433914,9.085981287493563,8.446869780553275,False
PNG,Papua New Guinea,Oceania,4211689.999101436,1028808.502872589,440937652.8911616,517759338.4393388,76821685.54817718,17.42234645747964,5723866132.966422,6237208940.685928,513342807.71950626,8.9684628500119,8.453883607467741,False
BRA,Brazil,South America,66945.19126907179,2027.613661439551,444055616.80978286,521904083.24717116,77848466.4373883,17.531242369294414,5614313574.655823,6123733257.521289,509419682.8654661,9.073588001302463,8.457654367991951,False
BDI,Burundi,Africa,7915595.5760886995,1510063.7420383943,437715002.5533402,514055432.86235154,76340430.30901134,17.440670268026388,5728291873.086485,6242357720.072886,514065846.98640156,8.974155967883942,8.466514300142446,False
THA,Thailand,Asia,2602.1729042083693,44.005442405585654,444117976.2199287,521968426.26553607,77850450.04560739,17.52922741570262,5658929034.999936,6171757962.039374,512828927.03943825,9.06229648521196,8.466930930490662,False
DEU,Germany,Europe,1288.9217453065328,55.6335635669368,444119301.0992088,521969739.51669496,77850438.41748619,17.52917250495621,5654103117.381127,6165718644.910257,511615527.52913,9.048570868054853,8.480601636901358,False
FRA,France,Europe,51811.82337430849,1407.2844270751666,444070129.84844327,521919216.61506593,77849086.76662266,17.530809107379454,5666322754.247993,6178697446.924171,512374692.676178,9.04245513180581,8.488353975573645,False
KOR,"Korea, South",Asia,3.6615113692957864,0.06466267447133767,444120530.7905418,521971024.7769289,77850493.98638707,17.52913648189421,5677652302.97585,6190796385.553929,513144082.5780792,9.037962439318854,8.491174042575356,False
POL,Poland,Europe,68.60134691150385,0.0749993360877994,444120465.8610429,521970959.83709335,77850493.97605044,17.52913904229048,5690607369.762484,6204574273.897814,513966904.1353302,9.031846176320935,8.497292865969547,False
ROU,Romania,Europe,2819.6803194317613,-138.29496224585,444117576.41210884,521968208.75812083,77850632.346012,17.52928424381301,5710358237.314041,6225287642.7749815,514929405.46094036,9.017462373834286,8.511821869978723,False
TWN,Taiwan,Asia,8034.587337916285,-126.43301273392535,444112373.36703986,521962993.85110235,77850620.4840625,17.529486939046006,5704915563.37604,6219317207.65246,514401644.27641964,9.01681433426875,8.512672604777256,False
VEN,Venezuela,South America,439987.25918542355,-30054.365369837265,443650492.7628352,521531041.17925483,77880548.41641963,17.554482568342976,5705590976.5621395,6221114170.107195,515523193.5450554,9.03540396889228,8.519078599450696,False
ESP,Spain,Europe,14296.299966444034,-564.2781566863541,444105673.80926734,521956732.1384738,77851058.32920647,17.529849970491846,5696003180.981332,6208984164.63149,512980983.6501579,9.005981340793062,8.523868629698784,False
GRC,Greece,Europe,1536.3830139193,-366.23443035420155,444118631.7699462,521969492.05542636,77850860.28548014,17.52929391302974,5718121695.602904,6232972750.830934,514851055.22802925,9.003849211952538,8.525444701077202,False
GBR,United Kingdom,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5663179962.571607,6173013941.035649,509833978.46404266,9.002609520332653,8.526526834156096,False
CUB,Cuba,North America,0.6040899981744587,0.09125099808443338,444120533.8745515,521971027.8343503,77850493.95979881,17.529136354183716,5717077493.822585,6231459139.43329,514381645.6107044,8.997283072802563,8.531853281381153,False
BLR,Belarus,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5718812661.843226,6233329692.937784,514517031.09455776,8.99692054134755,8.5322158131412,False
PRK,"Korea, North",Asia,9320.348917343626,460.4975303415649,444111674.5360035,521961708.0895229,77850033.55351943,17.529382364211692,5704346160.458279,6217452375.809238,513106215.3509598,8.99500487729408,8.534377486917611,False
HUN,Hungary,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5718443891.435778,6232698993.869744,514255102.43396664,8.992920315335091,8.536216039153658,False
