iso3,country_name,elevation_group,pop_total_2015,pop_total_2025,pop_total_change_2015_2025,pop_total_pct_change_2015_2025,growth_percent,elevation_label
AFG,Afghanistan,1500-2499m,13369697.063332971,17179758.944219485,3810061.8808865137,28.497742789818247,28.497742789818247,"1,500-2,499 m"
AFG,Afghanistan,2500-3499m,1884823.1847774917,2240030.0975401057,355206.91276261397,18.845635793924462,18.845635793924462,"2,500-3,499 m"
AGO,Angola,1500-2499m,4792861.0141123235,6660610.80152315,1867749.7874108264,38.96941267254228,38.96941267254228,"1,500-2,499 m"
ALB,Albania,1500-2499m,2381.7370964787146,1952.024489814472,-429.7126066642427,-18.041983193676263,-18.041983193676263,"1,500-2,499 m"
AND,Andorra,1500-2499m,12024.607764287408,14018.36777749795,1993.7600132105417,16.58066568401447,16.58066568401447,"1,500-2,499 m"
ARG,Argentina,1500-2499m,187205.74780824373,198057.7635245273,10852.015716283582,5.796838955713787,5.796838955713787,"1,500-2,499 m"
ARG,Argentina,2500-3499m,70950.90729812671,75162.01145260179,4211.104154475077,5.935236510479776,5.935236510479776,"2,500-3,499 m"
ARM,Armenia,1500-2499m,666660.183933051,704523.6151618821,37863.43122883118,5.679569913032874,5.679569913032874,"1,500-2,499 m"
ARM,Armenia,2500-3499m,458.00293759136133,471.9127334792904,13.909795887929079,3.037053858449191,3.037053858449191,"2,500-3,499 m"
AUS,Australia,1500-2499m,1016.4798365440726,1151.6421631509797,135.1623266069072,13.297098648453792,13.297098648453792,"1,500-2,499 m"
AUT,Austria,1500-2499m,53017.111902507735,51483.34511348352,-1533.7667890242155,-2.892965561467462,-2.892965561467462,"1,500-2,499 m"
AUT,Austria,2500-3499m,1206.6216033994783,1156.922579042322,-49.699024357156304,-4.118857495766414,-4.118857495766414,"2,500-3,499 m"
AZE,Azerbaijan,1500-2499m,75061.78405358685,80031.97798557443,4970.193931987582,6.6214705587590945,6.6214705587590945,"1,500-2,499 m"
AZE,Azerbaijan,2500-3499m,30.291040996054193,32.08014642982972,1.789105433775525,5.906384775645642,5.906384775645642,"2,500-3,499 m"
BDI,Burundi,1500-2499m,6403911.123055332,7913576.091913872,1509664.96885854,23.574108694660843,23.574108694660843,"1,500-2,499 m"
BGR,Bulgaria,1500-2499m,5669.183937276221,5296.9559778072535,-372.22795946896713,-6.565812003760904,-6.565812003760904,"1,500-2,499 m"
BIH,Bosnia and Herzegovina,1500-2499m,1708.5464261514503,1544.7825320494785,-163.7638941019718,-9.584983562363867,-9.584983562363867,"1,500-2,499 m"
BOL,Bolivia,1500-2499m,601298.0843651412,687769.3522319003,86471.2678667591,14.38076556622605,14.38076556622605,"1,500-2,499 m"
BOL,Bolivia,2500-3499m,2283985.620581604,2611289.3761301925,327303.75554858847,14.330377240520562,14.330377240520562,"2,500-3,499 m"
BRA,Brazil,1500-2499m,64898.772649193845,66925.15616341711,2026.3835142232638,3.1223757114433424,3.1223757114433424,"1,500-2,499 m"
BTN,Bhutan,1500-2499m,296829.9144617216,319956.51484926016,23126.60038753855,7.791195988273916,7.791195988273916,"1,500-2,499 m"
BTN,Bhutan,2500-3499m,83787.76759012546,90237.29116854847,6449.523578423017,7.697452461047674,7.697452461047674,"2,500-3,499 m"
CAN,Canada,1500-2499m,5512.208694517552,6091.810026842124,579.6013323245716,10.514865536586877,10.514865536586877,"1,500-2,499 m"
CAN,Canada,2500-3499m,26.99624063392286,28.83944432900376,1.843203695080902,6.8276310026840346,6.8276310026840346,"2,500-3,499 m"
CHE,Switzerland,1500-2499m,102036.85160624224,110737.32428060986,8700.472674367615,8.526794523161621,8.526794523161621,"1,500-2,499 m"
CHE,Switzerland,2500-3499m,2867.6064243978644,3104.7060541631145,237.09962976525003,8.268206813458923,8.268206813458923,"2,500-3,499 m"
CHL,Chile,1500-2499m,198502.1017529849,219039.95528833332,20537.853535348433,10.34641616082516,10.34641616082516,"1,500-2,499 m"
CHL,Chile,2500-3499m,30601.27515121966,33482.947062348314,2881.6719111286548,9.416836053035526,9.416836053035526,"2,500-3,499 m"
CHN,China,1500-2499m,60928995.134824164,62042579.82570511,1113584.6908809468,1.8276761144949096,1.8276761144949096,"1,500-2,499 m"
CHN,China,2500-3499m,4679035.334466286,4763529.679673203,84494.34520691726,1.805806948806791,1.805806948806791,"2,500-3,499 m"
CMR,Cameroon,1500-2499m,1162055.7353707727,1390166.2019606058,228110.46658983314,19.629907554911796,19.629907554911796,"1,500-2,499 m"
CMR,Cameroon,2500-3499m,1728.976626908925,1977.8082147650446,248.83158785611954,14.391842202111324,14.391842202111324,"2,500-3,499 m"
COD,Congo (Kinshasa),1500-2499m,8751005.281117672,12202349.21832957,3451343.937211897,39.439399547146586,39.439399547146586,"1,500-2,499 m"
COD,Congo (Kinshasa),2500-3499m,162073.04753873713,213579.09114496125,51506.04360622412,31.77952434929913,31.77952434929913,"2,500-3,499 m"
COL,Colombia,1500-2499m,8038881.94166996,9139871.174843995,1100989.2331740353,13.695800500154142,13.695800500154142,"1,500-2,499 m"
COL,Colombia,2500-3499m,11392832.29734694,12952946.721039515,1560114.4236925747,13.693824177995491,13.693824177995491,"2,500-3,499 m"
COM,Comoros,1500-2499m,8.35834000745308,10.111688895609404,1.7533488881563244,20.97723814289529,20.97723814289529,"1,500-2,499 m"
CPV,Cabo Verde,1500-2499m,1486.6100689627956,1347.7902785800395,-138.81979038275608,-9.338009561553038,-9.338009561553038,"1,500-2,499 m"
CRI,Costa Rica,1500-2499m,232946.36597713004,249212.8961106194,16266.530133489345,6.9829508029699605,6.9829508029699605,"1,500-2,499 m"
CRI,Costa Rica,2500-3499m,6493.04395761142,6894.433097962875,401.38914035145444,6.1818330966468995,6.1818330966468995,"2,500-3,499 m"
CYP,Cyprus,1500-2499m,48.55096603132522,54.91044895731035,6.359482925985134,13.098571348471166,13.098571348471166,"1,500-2,499 m"
DEU,Germany,1500-2499m,1192.906343129127,1245.8961607325805,52.9898176034535,4.442076941636111,4.442076941636111,"1,500-2,499 m"
DJI,Djibouti,1500-2499m,2634.08747998898,3202.56479449973,568.4773145107501,21.581565488217137,21.581565488217137,"1,500-2,499 m"
DOM,Dominican Republic,1500-2499m,7402.231008827601,7855.382157165837,453.15114833823645,6.121818513875435,6.121818513875435,"1,500-2,499 m"
DZA,Algeria,1500-2499m,35774.63557031375,42971.12769741113,7196.492127097379,20.116185706358724,20.116185706358724,"1,500-2,499 m"
ECU,Ecuador,1500-2499m,1297282.8999368215,1462992.2715892994,165709.3716524779,12.773572492210297,12.773572492210297,"1,500-2,499 m"
ECU,Ecuador,2500-3499m,4818785.122235275,5434778.239526598,615993.1172913229,12.783162180213258,12.783162180213258,"2,500-3,499 m"
EGY,Egypt,1500-2499m,2246.9687554582038,2714.4217372949424,467.4529818367387,20.803715258667015,20.803715258667015,"1,500-2,499 m"
ERI,Eritrea,1500-2499m,1404640.5153808508,1616200.5172804792,211560.00189962843,15.061505031575043,15.061505031575043,"1,500-2,499 m"
ERI,Eritrea,2500-3499m,25276.99014693368,29055.780955411814,3778.790808478134,14.949528351723215,14.949528351723215,"2,500-3,499 m"
ESP,Canary Islands,1500-2499m,843.591283985591,862.8122458425772,19.220961856986264,2.2784685216489944,2.2784685216489944,"1,500-2,499 m"
ESP,Spain,1500-2499m,13919.170475609712,13330.587806992804,-588.5826686169075,-4.228575759225518,-4.228575759225518,"1,500-2,499 m"
ESP,Canary Islands,2500-3499m,6.473450189927895,6.848286823056766,0.3748366331288704,5.790368692603558,5.790368692603558,"2,500-3,499 m"
ESP,Spain,2500-3499m,91.3429133451666,96.0516267856086,4.708713440442011,5.154984955043776,5.154984955043776,"2,500-3,499 m"
ETH,Ethiopia,1500-2499m,66710575.715651214,87293090.83504763,20582515.11939642,30.853451493400136,30.853451493400136,"1,500-2,499 m"
ETH,Ethiopia,2500-3499m,14622559.702379381,19258601.611750375,4636041.909370994,31.7047220440934,31.7047220440934,"2,500-3,499 m"
FRA,France,1500-2499m,49072.11935066968,50444.463621163726,1372.3442704940462,2.7965865111454944,2.7965865111454944,"1,500-2,499 m"
FRA,France,2500-3499m,1332.419596563703,1367.3597531448197,34.94015658111675,2.6223088185754,2.6223088185754,"2,500-3,499 m"
GEO,Georgia,1500-2499m,93874.48100340195,94267.87896171812,393.39795831617084,0.4190680514142223,0.4190680514142223,"1,500-2,499 m"
GEO,Georgia,2500-3499m,130.6485699683125,130.17214462841957,-0.476425339892927,-0.3646617333878811,-0.3646617333878811,"2,500-3,499 m"
GNQ,Equatorial Guinea,1500-2499m,94.91314896375115,149.14607620121387,54.23292723746272,57.13953001198511,57.13953001198511,"1,500-2,499 m"
GRC,Greece,1500-2499m,1897.1191958025408,1531.8833957124955,-365.23580009004536,-19.25212716724102,-19.25212716724102,"1,500-2,499 m"
GRL,Greenland,1500-2499m,,,,,,"1,500-2,499 m"
GRL,Greenland,2500-3499m,,,,,,"2,500-3,499 m"
GTM,Guatemala,1500-2499m,5539844.091199506,6489759.432078178,949915.340878672,17.146968854009625,17.146968854009625,"1,500-2,499 m"
GTM,Guatemala,2500-3499m,1043041.7598365818,1221988.0845332795,178946.32469669776,17.15619945310091,17.15619945310091,"2,500-3,499 m"
GUY,Guyana,1500-2499m,10.595816520424705,11.168233802600298,0.5724172821755928,5.402295151791181,5.402295151791181,"1,500-2,499 m"
HMD,Heard Island and McDonald Islands,1500-2499m,,,,,,"1,500-2,499 m"
HND,Honduras,1500-2499m,379637.7921413678,449166.48456298624,69528.69242161844,18.314481292665317,18.314481292665317,"1,500-2,499 m"
HRV,Croatia,1500-2499m,12.07092360411798,11.33301403093435,-0.7379095731836287,-6.113116091066071,-6.113116091066071,"1,500-2,499 m"
HTI,Haiti,1500-2499m,79012.94911969133,90306.90298106686,11293.953861375529,14.293801189811417,14.293801189811417,"1,500-2,499 m"
IDN,Indonesia,1500-2499m,2242649.1223180313,2450447.617831999,207798.4955139677,9.265760454724388,9.265760454724388,"1,500-2,499 m"
IDN,Indonesia,2500-3499m,51318.27381185512,54381.83264646392,3063.558834608797,5.969723077281448,5.969723077281448,"2,500-3,499 m"
IND,India,1500-2499m,12093698.699157132,12970944.247334367,877245.5481772348,7.253740728949815,7.253740728949815,"1,500-2,499 m"
IND,India,2500-3499m,551993.9081337001,589921.2130923579,37927.30495865771,6.870964407359224,6.870964407359224,"2,500-3,499 m"
IRN,Iran,1500-2499m,21560947.212754484,24166169.15387665,2605221.941122167,12.083058853652936,12.083058853652936,"1,500-2,499 m"
IRN,Iran,2500-3499m,109293.19442306881,122462.38605190076,13169.191628831948,12.049415975394249,12.049415975394249,"2,500-3,499 m"
IRQ,Iraq,1500-2499m,14617.458029876292,17861.12621822604,3243.6681883497477,22.190371141959755,22.190371141959755,"1,500-2,499 m"
IRQ,Iraq,2500-3499m,292.9248973935175,333.16241629587313,40.237518902355646,13.736462574671576,13.736462574671576,"2,500-3,499 m"
ISL,Iceland,1500-2499m,3.5185480066525088,4.448150009187543,0.9296020025350344,26.420046018341615,26.420046018341615,"1,500-2,499 m"
ITA,Italy,1500-2499m,82960.98557357641,81111.99908657382,-1848.9864870025922,-2.22874219034291,-2.22874219034291,"1,500-2,499 m"
ITA,Italy,2500-3499m,531.0034541515743,520.7103259920984,-10.293128159475827,-1.9384296051184757,-1.9384296051184757,"2,500-3,499 m"
JOR,Jordan,1500-2499m,13855.555467971793,17046.752237667264,3191.1967696954707,23.031893431282295,23.031893431282295,"1,500-2,499 m"
