elevation_group,settlement_class,pop_2015_static2025,pop_2025_static2025,youth_population,youth_share_percent,male_share_percent,growth_static2025_percent,youth_share,male_share,growth_static2025,pop_2025_change_static2025,population_2025_millions
<100 m,Low-density rural,443549060.98496056,477621690.95293105,110026603.6053769,23.036349832826136,50.43719050215817,7.681817630795479,0.23036349832826136,0.5043719050215817,0.07681817630795479,477621690.95293105,477.62169095293103
<100 m,Rural cluster,85732494.21051188,93386928.22265668,21902774.480675172,23.45379047959875,50.22925095651163,8.9282763578167,0.23453790479598752,0.5022925095651163,0.08928276357816699,93386928.22265668,93.38692822265668
<100 m,Peri-urban,670246378.6795845,725376542.4954845,166952013.82499573,23.015910226520045,50.34644817933882,8.22535795337065,0.23015910226520045,0.5034644817933882,0.0822535795337065,725376542.4954845,725.3765424954845
<100 m,Semi-dense urban,83886397.08637431,90377370.2311169,20849735.84953771,23.069642097595747,50.21107648942859,7.737813722121252,0.23069642097595747,0.502110764894286,0.07737813722121252,90377370.2311169,90.3773702311169
<100 m,Dense urban,303966979.92735285,329455828.41210157,76026561.51942791,23.07640507859818,50.2447165394874,8.385400444101025,0.2307640507859818,0.502447165394874,0.08385400444101025,329455828.41210157,329.45582841210154
<100 m,Urban centre,1665612847.066712,1794846736.5257514,367640060.111644,20.483089315095366,50.29858627032895,7.758939280915819,0.20483089315095365,0.5029858627032895,0.07758939280915819,1794846736.5257514,1794.8467365257513
100-499 m,Low-density rural,693980652.7423395,758285940.4715575,198886693.30517533,26.228455875298582,50.40543110793275,9.266149924368744,0.26228455875298584,0.5040543110793275,0.09266149924368744,758285940.4715575,758.2859404715575
100-499 m,Rural cluster,157275720.04897866,176854603.2877641,47253971.94019221,26.71910770866631,50.34292002740104,12.448764013090011,0.2671910770866631,0.5034292002740104,0.12448764013090012,176854603.2877641,176.8546032877641
100-499 m,Peri-urban,510064806.1158387,563886902.82006,138635882.53941083,24.5857603441537,50.46279533828399,10.552011442247592,0.245857603441537,0.5046279533828399,0.10552011442247591,563886902.82006,563.88690282006
100-499 m,Semi-dense urban,77187993.42320059,85219450.15201777,21406932.0320616,25.119772533001655,50.42278316472121,10.405059611775249,0.25119772533001655,0.5042278316472121,0.10405059611775248,85219450.15201777,85.21945015201777
100-499 m,Dense urban,236721005.92654112,261204087.46353617,65989306.97859571,25.263504725134805,50.15537681310663,10.34258934527872,0.25263504725134805,0.5015537681310662,0.1034258934527872,261204087.46353617,261.20408746353615
100-499 m,Urban centre,797509213.4872794,883015374.311047,213828829.7440235,24.215753877542472,50.23058304887712,10.72165178504441,0.24215753877542473,0.5023058304887712,0.1072165178504441,883015374.311047,883.0153743110469
500-1499 m,Low-density rural,394904317.9306954,452536823.5125617,138664395.52703762,30.6415717622123,50.29084511565742,14.594042902306429,0.306415717622123,0.5029084511565742,0.14594042902306428,452536823.5125617,452.5368235125617
500-1499 m,Rural cluster,78484478.20474386,91208812.24806409,26855126.7687106,29.443565930528383,50.344764023329866,16.212548435534,0.2944356593052838,0.5034476402332987,0.16212548435534,91208812.24806409,91.20881224806409
