year,threshold_m,geography_level,region,population_total,population_below_or_equal,percent_below_or_equal,population_above,percent_above
2015,100,global,Global,7426197033.276765,3268252511.5555673,44.00977373628168,4157944521.7211976,55.99022626371831
2015,100,continent,Africa,1204437451.7915573,301127898.45718336,25.001538934983003,903309553.334374,74.998461065017
2015,100,continent,Asia,4460719302.524467,2273316857.5927534,50.96301074820396,2187402444.931714,49.03698925179603
2015,100,continent,Europe,743343705.3988931,323093641.59781456,43.46490583712363,420250063.80107856,56.535094162876376
2015,100,continent,North America,569845699.185112,201821882.91663167,35.41693535728005,368023816.2684803,64.58306464271995
2015,100,continent,Oceania,40129358.84005448,27928495.70202191,69.59616726830315,12200863.13803257,30.403832731696856
2015,100,continent,South America,407721515.53668016,140963735.2891618,34.57353362959335,266757780.24751836,65.42646637040664
2015,150,global,Global,7426197033.276765,3824600506.9646306,51.501468245814216,3601596526.3121343,48.498531754185784
2015,150,continent,Africa,1204437451.7915573,343027467.8056605,28.48030566430988,861409983.9858968,71.51969433569012
2015,150,continent,Asia,4460719302.524467,2602346641.8916893,58.33917055527201,1858372660.6327782,41.66082944472799
2015,150,continent,Europe,743343705.3988931,443896010.28606427,59.71611881045805,299447695.11282885,40.28388118954195
2015,150,continent,North America,569845699.185112,242509130.3505885,42.556981775484175,327336568.8345235,57.44301822451582
2015,150,continent,Oceania,40129358.84005448,30601578.507195167,76.25733226679587,9527780.332859315,23.742667733204133
2015,150,continent,South America,407721515.53668016,162219678.1234323,39.786881962778935,245501837.41324785,60.21311803722107
2015,200,global,Global,7426197033.276765,4266819036.4480886,57.456313336805984,3159377996.828676,42.54368666319401
2015,200,continent,Africa,1204437451.7915573,381563572.4489902,31.67981632266816,822873879.3425671,68.32018367733184
2015,200,continent,Asia,4460719302.524467,2853215007.660305,63.96311478387751,1607504294.8641624,36.0368852161225
2015,200,continent,Europe,743343705.3988931,530786814.9032028,71.40530161863306,212556890.49569035,28.594698381366946
2015,200,continent,North America,569845699.185112,289309236.0355822,50.769749854969305,280536463.1495298,49.2302501450307
2015,200,continent,Oceania,40129358.84005448,31991132.089810845,79.72001799809321,8138226.750243638,20.27998200190678
2015,200,continent,South America,407721515.53668016,179953273.31019828,44.13632012363326,227768242.22648188,55.86367987636673
2015,500,global,Global,7426197033.276765,5731462935.2955265,77.1789774714145,1694734097.9812384,22.821022528585498
2015,500,continent,Africa,1204437451.7915573,689410500.4756169,57.23921150493483,515026951.3159404,42.76078849506517
2015,500,continent,Asia,4460719302.524467,3650976825.7538347,81.84726673313936,809742476.7706327,18.152733266860636
2015,500,continent,Europe,743343705.3988931,689492168.0676712,92.75549965109019,53851537.33122194,7.244500348909812
2015,500,continent,North America,569845699.185112,423175058.366189,74.2613410913403,146670640.818923,25.7386589086597
2015,500,continent,Oceania,40129358.84005448,34720021.404547736,86.52024953334788,5409337.435506746,13.479750466652115
2015,500,continent,South America,407721515.53668016,243688361.2276671,59.76833498887159,164033154.30901307,40.23166501112842
2015,1000,global,Global,7426197033.276765,6550007842.67346,88.2013743147791,876189190.6033049,11.7986256852209
2015,1000,continent,Africa,1204437451.7915573,854854764.7195039,70.975438653783,349582687.07205343,29.024561346217006
2015,1000,continent,Asia,4460719302.524467,4108954294.610032,92.11416401575953,351765007.9144354,7.885835984240479
2015,1000,continent,Europe,743343705.3988931,739882277.0898032,99.53434349629255,3461428.309089899,0.4656565037074508
2015,1000,continent,North America,569845699.185112,460726103.175056,80.85102753849004,109119596.01005602,19.148972461509967
2015,1000,continent,Oceania,40129358.84005448,36176285.44424754,90.14917379676336,3953073.395806946,9.85082620323664
2015,1000,continent,South America,407721515.53668016,349414117.63481635,85.69920995581646,58307397.90186381,14.300790044183543
2015,1500,global,Global,7426197033.276765,6971570376.350653,93.8780690185174,454626656.9261122,6.121930981482603
2015,1500,continent,Africa,1204437451.7915573,1037040711.1898141,86.10166593933569,167396740.60174322,13.898334060664306
2015,1500,continent,Asia,4460719302.524467,4298799465.7906475,96.37009581297383,161919836.73381996,3.6299041870261646
2015,1500,continent,Europe,743343705.3988931,742773834.9519233,99.92333688402405,569870.4469698668,0.07666311597594855
2015,1500,continent,North America,569845699.185112,490411536.80947375,86.06040854757168,79434162.37563825,13.939591452428315
2015,1500,continent,Oceania,40129358.84005448,36947037.61598679,92.06984283812851,3182321.2240676954,7.930157161871502
2015,1500,continent,South America,407721515.53668016,365597789.9928081,89.66850560034219,42123725.54387206,10.33149439965781
2015,3500,global,Global,7426197033.276765,7415135377.618107,99.85104548655131,11061655.658658028,0.14895451344868424
2015,3500,continent,Africa,1204437451.7915573,1204297833.0257213,99.98840796874687,139618.76583600044,0.011592031253123403
2015,3500,continent,Asia,4460719302.524467,4456090592.4992485,99.89623399924315,4628710.025218964,0.10376600075686056
2015,3500,continent,Europe,743343705.3988931,743343589.7585315,99.99998444321776,115.64036166667938,1.5556782256550414e-05
2015,3500,continent,North America,569845699.185112,569838294.1416928,99.9987005178016,7405.043419241905,0.00129948219839708
2015,3500,continent,Oceania,40129358.84005448,40129119.57402488,99.9994037631387,239.26602960377932,0.0005962368612900929
2015,3500,continent,South America,407721515.53668016,401435948.618888,98.45836761655355,6285566.917792141,1.5416323834464576
2025,100,global,Global,8196715785.285715,3527530091.337481,43.0358961289094,4669185693.948235,56.9641038710906
2025,100,continent,Africa,1532348334.5606296,372208287.5893827,24.290057240549423,1160140046.971247,75.70994275945057
2025,100,continent,Asia,4821148981.730172,2426982145.731589,50.34032665094317,2394166835.9985833,49.65967334905684
2025,100,continent,Europe,744861201.5326172,329161791.13504297,44.191023838772075,415699410.39757425,55.80897616122793
