year,threshold_m,population_below_or_equal,percent_below_or_equal,population_above,percent_above
2015,100,3268252511.5555673,44.00977373628168,4157944521.7211976,55.99022626371831
2015,150,3824600506.9646306,51.501468245814216,3601596526.3121343,48.498531754185784
2015,200,4266819036.4480886,57.456313336805984,3159377996.828676,42.54368666319401
2015,500,5731462935.2955265,77.1789774714145,1694734097.9812384,22.821022528585498
2015,1000,6550007842.67346,88.2013743147791,876189190.6033049,11.7986256852209
2015,1500,6971570376.350653,93.8780690185174,454626656.9261122,6.121930981482603
2015,3500,7415135377.618107,99.85104548655131,11061655.658658028,0.14895451344868424
2025,100,3527530091.337481,43.0358961289094,4669185693.948235,56.9641038710906
2025,150,4125621374.9234157,50.33261470807003,4071094410.3622994,49.667385291929975
2025,200,4604354160.128074,56.1731586252332,3592361625.1576414,43.8268413747668
2025,500,6245878830.527775,76.19977310595576,1950836954.7579403,23.80022689404424
2025,1000,7166220193.817212,87.42794530806606,1030495591.468503,12.572054691933946
2025,1500,7663302929.195872,93.49235876828381,533412856.0898428,6.507641231716191
2025,3500,8184626352.17358,99.85250881659411,12089433.112134933,0.14749118340588566
